Code,IMP_codes
AGR,DEL
DIB,BOM
HYD,BLR
BHJ,HYD
HBX,MAA
IXD,CCU
JDH,COK
UDR,GOI
PAT,PNQ
IXR,GAU
GAU,LKO
IXC,JAI
IXA,PAT
BBI,TRV
IXM,BBI
DHM,CCJ
STV,IXB
VNS,NAG
IXU,VNS
KUU,IDR
BHO,CJB
CDP,SXR
IXE,VTZ
BUP,IXR
PNQ,ATQ
PGH,IXC
DEL,RPR
IMF,IXE
GOP,IXZ
IXP,TRZ
JSA,
BLR,
MAA,
TEZ,
CJB,
RJA,
SLV,
BOM,
IXI,
TCR,
VTZ,
SHL,
DED,
IXG,
GWL,
COK,
SXR,
TRV,
ATQ,
CCU,
NDC,
AGX,
JAI,
RAJ,
DIU,
TRZ,
DBR,
AJL,
JLR,
CCJ,
DMU,
BEK,
LKO,
RPR,
JGA,
VGA,
IXZ,
BHU,
IXJ,
GAY,
BDQ,
IXB,
HJR,
PNY,
NAG,
IDR,
JRH,
KNU,
IXL,
IXS,
CNN,
GOI,
AMD,
TIR,
