Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 15,314","Ranchi to New Delhi , 21 May",20:15,22:15,Non stop,Vistara,2021-05-06 20:34:25.382531
" 15,650","Ranchi to New Delhi , 21 May",13:30,15:30,Non stop,Air India,2021-05-06 20:34:25.382531
" 33,491","Ranchi to Mumbai , 21 May",13:30,21:15,1 stop via New Delhi,Air India,2021-05-06 20:34:48.220475
" 33,491","Ranchi to Mumbai , 21 May",13:30,21:35,"2 stop via New Delhi,Aurangabad",Air India,2021-05-06 20:34:48.220475
" 33,491","Ranchi to Mumbai , 21 May",13:30,22:10,1 stop via New Delhi,Air India,2021-05-06 20:34:48.220475
" 46,965","Ranchi to Mumbai , 21 May",13:30,09:40,"2 stop via New Delhi,Hyderabad",Air India,2021-05-06 20:34:48.220475
" 53,494","Ranchi to Mumbai , 21 May",13:30,08:35,"2 stop via New Delhi,Bengaluru",Air India,2021-05-06 20:34:48.220475
" 53,494","Ranchi to Mumbai , 21 May",13:30,10:35,"2 stop via New Delhi,Bengaluru",Air India,2021-05-06 20:34:48.220475
" 60,803","Ranchi to Mumbai , 21 May",13:30,23:25,"2 stop via New Delhi,Patna",Air India,2021-05-06 20:34:48.220475
" 34,085","Ranchi to Bengaluru , 21 May",13:30,23:55,1 stop via New Delhi,Air India,2021-05-06 20:35:10.926052
" 52,901","Ranchi to Bengaluru , 21 May",13:30,07:55,"3 stop via New Delhi,Aurangabad,Mumbai",Air India,2021-05-06 20:35:10.926052
" 52,901","Ranchi to Bengaluru , 21 May",13:30,07:55,"2 stop via New Delhi,Mumbai",Air India,2021-05-06 20:35:10.926052
" 52,901","Ranchi to Bengaluru , 21 May",13:30,07:55,"2 stop via New Delhi,Mumbai",Air India,2021-05-06 20:35:10.926052
" 52,901","Ranchi to Bengaluru , 21 May",13:30,11:10,"3 stop via New Delhi,Aurangabad,Mumbai",Air India,2021-05-06 20:35:10.926052
" 60,803","Ranchi to Bengaluru , 21 May",13:30,00:45,"2 stop via New Delhi,Patna",Air India,2021-05-06 20:35:10.926052
" 32,035","Ranchi to Hyderabad , 21 May",13:30,23:35,1 stop via New Delhi,Air India,2021-05-06 20:35:31.982203
" 48,421","Ranchi to Hyderabad , 21 May",13:30,07:15,"2 stop via New Delhi,Mumbai",Air India,2021-05-06 20:35:31.982203
" 48,421","Ranchi to Hyderabad , 21 May",13:30,07:15,"2 stop via New Delhi,Mumbai",Air India,2021-05-06 20:35:31.982203
" 48,421","Ranchi to Hyderabad , 21 May",13:30,07:15,"3 stop via New Delhi,Aurangabad,Mumbai",Air India,2021-05-06 20:35:31.982203
" 51,075","Ranchi to Hyderabad , 21 May",13:30,12:25,"4 stop via New Delhi,Bengaluru,Kolkata,Bhubaneswar",Air India,2021-05-06 20:35:31.982203
" 53,315","Ranchi to Hyderabad , 21 May",13:30,12:25,"3 stop via New Delhi,Kolkata,Bhubaneswar",Air India,2021-05-06 20:35:31.982203
" 34,275","Ranchi to Chennai , 21 May",13:30,23:35,1 stop via New Delhi,Air India,2021-05-06 20:35:48.746653
" 48,566","Ranchi to Chennai , 21 May",13:30,10:55,"2 stop via New Delhi,Mumbai",Air India,2021-05-06 20:35:48.746653
" 48,566","Ranchi to Chennai , 21 May",13:30,10:55,"2 stop via New Delhi,Mumbai",Air India,2021-05-06 20:35:48.746653
