Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 13,976","New Delhi to Mumbai , 24 May",12:50,15:00,Non stop,Vistara,2021-05-08 16:45:00.047063
" 18,232","New Delhi to Mumbai , 24 May",07:00,09:05,Non stop,Air India,2021-05-08 16:45:00.047063
" 18,232","New Delhi to Mumbai , 24 May",08:00,10:10,Non stop,Air India,2021-05-08 16:45:00.047063
" 18,232","New Delhi to Mumbai , 24 May",10:40,12:50,Non stop,Air India,2021-05-08 16:45:00.047063
" 18,232","New Delhi to Mumbai , 24 May",20:00,22:10,Non stop,Air India,2021-05-08 16:45:00.047063
" 18,232","New Delhi to Mumbai , 24 May",09:00,11:15,Non stop,Air India,2021-05-08 16:45:00.047063
" 18,232","New Delhi to Mumbai , 24 May",19:00,21:15,Non stop,Air India,2021-05-08 16:45:00.047063
" 18,232","New Delhi to Mumbai , 24 May",15:05,18:15,1 stop via Indore,Air India,2021-05-08 16:45:00.047063
" 18,232","New Delhi to Mumbai , 24 May",17:50,21:35,1 stop via Aurangabad,Air India,2021-05-08 16:45:00.047063
" 26,912","New Delhi to Mumbai , 24 May",10:15,15:40,1 stop via Varanasi,Air India,2021-05-08 16:45:00.047063
" 29,656","New Delhi to Mumbai , 24 May",15:30,17:40,Non stop,Vistara,2021-05-08 16:45:00.047063
" 31,705","New Delhi to Mumbai , 24 May",08:20,23:30,1 stop via Hyderabad,Air India,2021-05-08 16:45:00.047063
" 34,091","New Delhi to Mumbai , 24 May",09:45,17:05,1 stop via Chennai,Air India,2021-05-08 16:45:00.047063
" 34,091","New Delhi to Mumbai , 24 May",06:00,17:05,1 stop via Chennai,Air India,2021-05-08 16:45:00.047063
" 34,371","New Delhi to Mumbai , 24 May",12:00,15:50,1 stop via Jaipur,Air India,2021-05-08 16:45:00.047063
" 34,519","New Delhi to Mumbai , 24 May",05:55,09:40,1 stop via Bhopal,Air India,2021-05-08 16:45:00.047063
" 38,235","New Delhi to Mumbai , 24 May",21:15,08:35,1 stop via Bengaluru,Air India,2021-05-08 16:45:00.047063
