Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 27,088","Srinagar to Pune , 30 May",12:25,18:10,1 stop via New Delhi,Air India,2021-05-10 06:33:03.064089
" 27,088","Srinagar to Pune , 30 May",09:25,18:10,1 stop via New Delhi,Air India,2021-05-10 06:33:03.064089
" 40,891","Srinagar to Guwahati , 30 May",14:15,11:05,"3 stop via Jammu,New Delhi,Kolkata",Air India,2021-05-10 06:33:25.878923
" 42,317","Srinagar to Guwahati , 30 May",09:25,11:05,"2 stop via New Delhi,Kolkata",Air India,2021-05-10 06:33:25.878923
" 42,367","Srinagar to Guwahati , 30 May",12:25,11:05,"2 stop via New Delhi,Kolkata",Air India,2021-05-10 06:33:25.878923
" 42,485","Srinagar to Guwahati , 30 May",12:50,11:05,"2 stop via New Delhi,Kolkata","Vistara, Air India",2021-05-10 06:33:25.878923
" 21,813","Srinagar to Lucknow , 30 May",09:25,14:00,1 stop via New Delhi,Air India,2021-05-10 06:33:45.079186
" 21,813","Srinagar to Lucknow , 30 May",14:15,19:40,"2 stop via Jammu,New Delhi",Air India,2021-05-10 06:33:45.079186
" 21,813","Srinagar to Lucknow , 30 May",12:25,19:40,1 stop via New Delhi,Air India,2021-05-10 06:33:45.079186
" 21,813","Srinagar to Lucknow , 30 May",09:25,19:40,1 stop via New Delhi,Air India,2021-05-10 06:33:45.079186
" 22,703","Srinagar to Lucknow , 30 May",09:25,14:50,1 stop via New Delhi,"Air India, Vistara",2021-05-10 06:33:45.079186
" 22,971","Srinagar to Lucknow , 30 May",12:50,19:40,1 stop via New Delhi,"Vistara, Air India",2021-05-10 06:33:45.079186
" 57,519","Srinagar to Lucknow , 30 May",14:15,10:30,"3 stop via Jammu,New Delhi,Mumbai",Air India,2021-05-10 06:33:45.079186
" 57,519","Srinagar to Lucknow , 30 May",14:15,10:30,"3 stop via Jammu,New Delhi,Mumbai",Air India,2021-05-10 06:33:45.079186
" 57,519","Srinagar to Lucknow , 30 May",12:25,10:30,"2 stop via New Delhi,Mumbai",Air India,2021-05-10 06:33:45.079186
" 57,519","Srinagar to Lucknow , 30 May",12:25,10:30,"2 stop via New Delhi,Mumbai",Air India,2021-05-10 06:33:45.079186
" 57,909","Srinagar to Lucknow , 30 May",12:25,10:30,"3 stop via New Delhi,Aurangabad,Mumbai",Air India,2021-05-10 06:33:45.079186
" 57,909","Srinagar to Lucknow , 30 May",09:25,10:30,"2 stop via New Delhi,Mumbai",Air India,2021-05-10 06:33:45.079186
" 57,909","Srinagar to Lucknow , 30 May",09:25,10:30,"3 stop via New Delhi,Aurangabad,Mumbai",Air India,2021-05-10 06:33:45.079186
" 57,909","Srinagar to Lucknow , 30 May",09:25,10:30,"2 stop via New Delhi,Mumbai",Air India,2021-05-10 06:33:45.079186
" 58,077","Srinagar to Lucknow , 30 May",12:50,10:30,"2 stop via New Delhi,Mumbai","Vistara, Air India",2021-05-10 06:33:45.079186
" 58,112","Srinagar to Jaipur , 30 May",14:15,09:20,"3 stop via Jammu,New Delhi,Bengaluru",Air India,2021-05-10 06:34:00.413174
" 58,112","Srinagar to Jaipur , 30 May",12:25,09:20,"2 stop via New Delhi,Bengaluru",Air India,2021-05-10 06:34:00.413174
" 58,503","Srinagar to Jaipur , 30 May",09:25,09:20,"2 stop via New Delhi,Bengaluru",Air India,2021-05-10 06:34:00.413174
