Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
"21,592","New Delhi to Mumbai , 02 May",20:00,22:10,Non stop,Air India,05:57.4
"21,592","New Delhi to Mumbai , 02 May",15:05,18:15,1 stop via Indore,Air India,05:57.4
"21,592","New Delhi to Mumbai , 02 May",17:50,21:35,1 stop via Aurangabad,Air India,05:57.4
"21,816","New Delhi to Mumbai , 02 May",15:30,17:40,Non stop,Vistara,05:57.4
"21,816","New Delhi to Mumbai , 02 May",17:45,20:05,Non stop,Vistara,05:57.4
"31,896","New Delhi to Mumbai , 02 May",13:20,17:50,1 stop via Udaipur,Air India,05:57.4
"34,831","New Delhi to Mumbai , 02 May",13:20,18:20,1 stop via Varanasi,Vistara,05:57.4
"38,201","New Delhi to Mumbai , 02 May",21:25,09:40,1 stop via Hyderabad,Air India,05:57.4
"43,051","New Delhi to Mumbai , 02 May",13:30,21:05,1 stop via Bengaluru,Air India,05:57.4
"43,051","New Delhi to Mumbai , 02 May",21:15,08:35,1 stop via Bengaluru,Air India,05:57.4
"43,052","New Delhi to Mumbai , 02 May",17:30,13:00,1 stop via Kolkata,Vistara,05:57.4
"46,494","New Delhi to Mumbai , 02 May",13:10,22:20,"2 stop via Thiruvananthapuram,Kochi",Air India,05:57.4
"49,687","New Delhi to Mumbai , 02 May",16:45,23:25,1 stop via Patna,Air India,05:57.4
"22,185","New Delhi to Bengaluru , 02 May",21:15,23:55,Non stop,Air India,06:20.0
"22,185","New Delhi to Bengaluru , 02 May",13:30,16:15,Non stop,Air India,06:20.0
"22,712","New Delhi to Bengaluru , 02 May",14:15,17:05,Non stop,Vistara,06:20.0
"37,686","New Delhi to Bengaluru , 02 May",21:25,11:20,1 stop via Hyderabad,Air India,06:20.0
"38,806","New Delhi to Bengaluru , 02 May",20:40,11:20,"2 stop via Chennai,Hyderabad",Air India,06:20.0
"41,416","New Delhi to Bengaluru , 02 May",16:55,23:20,1 stop via Kolkata,Air India,06:20.0
"42,457","New Delhi to Bengaluru , 02 May",20:00,11:10,1 stop via Mumbai,Air India,06:20.0
"42,457","New Delhi to Bengaluru , 02 May",17:50,11:10,"2 stop via Aurangabad,Mumbai",Air India,06:20.0
"42,862","New Delhi to Bengaluru , 02 May",17:45,15:50,1 stop via Mumbai,Vistara,06:20.0
"20,696","New Delhi to Hyderabad , 02 May",21:25,23:35,Non stop,Air India,06:41.1
"21,436","New Delhi to Hyderabad , 02 May",14:45,17:00,Non stop,Vistara,06:41.1
"39,097","New Delhi to Hyderabad , 02 May",15:05,20:45,"2 stop via Indore,Mumbai",Air India,06:41.1
"39,097","New Delhi to Hyderabad , 02 May",20:00,07:15,1 stop via Mumbai,Air India,06:41.1
"39,097","New Delhi to Hyderabad , 02 May",17:50,07:15,"2 stop via Aurangabad,Mumbai",Air India,06:41.1
"39,097","New Delhi to Hyderabad , 02 May",15:05,07:15,"2 stop via Indore,Mumbai",Air India,06:41.1
"39,176","New Delhi to Hyderabad , 02 May",21:15,09:45,"2 stop via Bengaluru,Chennai",Air India,06:41.1
"40,666","New Delhi to Hyderabad , 02 May",17:45,15:00,1 stop via Mumbai,Vistara,06:41.1
"42,166","New Delhi to Hyderabad , 02 May",20:40,09:45,1 stop via Chennai,Air India,06:41.1
