Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 18,232","New Delhi to Mumbai , 06 May",07:00,09:05,Non stop,Air India,2021-05-03 10:28:58.269050
" 18,232","New Delhi to Mumbai , 06 May",10:40,12:50,Non stop,Air India,2021-05-03 10:28:58.269050
" 18,232","New Delhi to Mumbai , 06 May",20:00,22:10,Non stop,Air India,2021-05-03 10:28:58.269050
" 18,232","New Delhi to Mumbai , 06 May",09:00,11:15,Non stop,Air India,2021-05-03 10:28:58.269050
" 18,232","New Delhi to Mumbai , 06 May",19:00,21:15,Non stop,Air India,2021-05-03 10:28:58.269050
" 18,232","New Delhi to Mumbai , 06 May",15:05,18:15,1 stop via Indore,Air India,2021-05-03 10:28:58.269050
" 21,816","New Delhi to Mumbai , 06 May",12:50,15:00,Non stop,Vistara,2021-05-03 10:28:58.269050
" 21,816","New Delhi to Mumbai , 06 May",15:30,17:40,Non stop,Vistara,2021-05-03 10:28:58.269050
" 23,675","New Delhi to Mumbai , 06 May",13:20,17:50,1 stop via Udaipur,Air India,2021-05-03 10:28:58.269050
" 26,912","New Delhi to Mumbai , 06 May",10:15,15:40,1 stop via Varanasi,Air India,2021-05-03 10:28:58.269050
" 27,551","New Delhi to Mumbai , 06 May",13:20,18:20,1 stop via Varanasi,Vistara,2021-05-03 10:28:58.269050
" 31,705","New Delhi to Mumbai , 06 May",21:25,09:40,1 stop via Hyderabad,Air India,2021-05-03 10:28:58.269050
" 31,705","New Delhi to Mumbai , 06 May",09:45,23:30,1 stop via Hyderabad,Air India,2021-05-03 10:28:58.269050
" 31,705","New Delhi to Mumbai , 06 May",08:00,23:30,1 stop via Hyderabad,Air India,2021-05-03 10:28:58.269050
" 32,418","New Delhi to Mumbai , 06 May",07:05,17:20,1 stop via Hyderabad,Vistara,2021-05-03 10:28:58.269050
" 33,900","New Delhi to Mumbai , 06 May",06:50,23:25,"2 stop via Kolkata,Patna",Air India,2021-05-03 10:28:58.269050
" 34,091","New Delhi to Mumbai , 06 May",09:45,17:05,1 stop via Chennai,Air India,2021-05-03 10:28:58.269050
