Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 5,637","Bhubaneswar to New Delhi , 12 May",09:40,11:55,Non stop,Vistara,2021-05-11 09:37:22.378070
" 8,308","Bhubaneswar to Mumbai , 12 May",09:40,15:00,1 stop via New Delhi,Vistara,2021-05-11 09:37:45.135803
" 9,220","Bhubaneswar to Bengaluru , 12 May",09:40,17:05,1 stop via New Delhi,Vistara,2021-05-11 09:38:07.600553
" 8,308","Bhubaneswar to Hyderabad , 12 May",09:40,17:00,1 stop via New Delhi,Vistara,2021-05-11 09:38:30.223170
" 11,908","Bhubaneswar to Chennai , 12 May",09:40,16:20,1 stop via New Delhi,Vistara,2021-05-11 09:38:52.832340
" 9,983","Bhubaneswar to Kochi , 12 May",09:40,18:50,1 stop via New Delhi,Vistara,2021-05-11 09:39:25.269857
" 7,363","Bhubaneswar to Lucknow , 12 May",09:40,14:50,1 stop via New Delhi,Vistara,2021-05-11 09:40:46.368652
" 7,944","Bhubaneswar to Varanasi , 12 May",09:40,14:45,1 stop via New Delhi,Vistara,2021-05-11 09:43:24.535773
" 8,308","Bhubaneswar to Ranchi , 12 May",09:40,19:40,1 stop via New Delhi,Vistara,2021-05-11 09:45:04.833875
" 7,363","Bhubaneswar to Amritsar , 12 May",09:40,14:50,1 stop via New Delhi,Vistara,2021-05-11 09:45:27.916292
" 6,818","Bhubaneswar to Chandigarh , 12 May",09:40,14:45,1 stop via New Delhi,Vistara,2021-05-11 09:45:50.724259
" 4,784","Bagdogra to New Delhi , 12 May",14:10,16:25,Non stop,Vistara,2021-05-11 09:59:57.327535
" 5,383","Bagdogra to New Delhi , 12 May",12:05,14:10,Non stop,Spicejet,2021-05-11 09:59:57.327535
" 5,383","Bagdogra to New Delhi , 12 May",15:35,18:10,Non stop,Spicejet,2021-05-11 09:59:57.327535
" 6,391","Bagdogra to Mumbai , 12 May",13:25,22:15,1 stop via Kolkata,Spicejet,2021-05-11 10:00:22.861676
" 6,391","Bagdogra to Mumbai , 12 May",15:35,09:35,1 stop via New Delhi,Spicejet,2021-05-11 10:00:22.861676
" 6,391","Bagdogra to Mumbai , 12 May",12:05,09:35,1 stop via New Delhi,Spicejet,2021-05-11 10:00:22.861676
" 7,150","Bagdogra to Bengaluru , 12 May",15:35,09:05,1 stop via New Delhi,Spicejet,2021-05-11 10:00:49.427162
" 7,150","Bagdogra to Bengaluru , 12 May",13:25,09:40,1 stop via Kolkata,Spicejet,2021-05-11 10:00:49.427162
" 7,150","Bagdogra to Bengaluru , 12 May",12:05,09:05,1 stop via New Delhi,Spicejet,2021-05-11 10:00:49.427162
" 6,631","Bagdogra to Hyderabad , 12 May",15:35,22:30,1 stop via New Delhi,Spicejet,2021-05-11 10:01:36.899485
" 6,631","Bagdogra to Hyderabad , 12 May",12:05,22:30,1 stop via New Delhi,Spicejet,2021-05-11 10:01:36.899485
" 6,391","Bagdogra to Chennai , 12 May",15:35,09:10,1 stop via New Delhi,Spicejet,2021-05-11 10:02:00.931655
" 6,391","Bagdogra to Chennai , 12 May",12:05,09:10,1 stop via New Delhi,Spicejet,2021-05-11 10:02:00.931655
" 7,983","Bagdogra to Chennai , 12 May",08:50,11:40,Non stop,Spicejet,2021-05-11 10:02:00.931655
" 4,483","Bagdogra to Kolkata , 12 May",13:25,14:20,Non stop,Spicejet,2021-05-11 10:02:26.582485
" 7,185","Bagdogra to Pune , 12 May",14:10,12:35,1 stop via New Delhi,Vistara,2021-05-11 10:04:03.068412
" 5,499","Bagdogra to Pune , 12 May",12:05,18:55,1 stop via New Delhi,Spicejet,2021-05-11 10:04:03.068412
" 5,499","Bagdogra to Pune , 12 May",15:35,10:45,1 stop via New Delhi,Spicejet,2021-05-11 10:04:03.068412
" 5,499","Bagdogra to Pune , 12 May",12:05,10:45,1 stop via New Delhi,Spicejet,2021-05-11 10:04:03.068412
" 5,499","Bagdogra to Pune , 12 May",15:35,18:55,1 stop via New Delhi,Spicejet,2021-05-11 10:04:03.068412
" 6,264","Bagdogra to Srinagar , 12 May",15:35,08:10,1 stop via New Delhi,Spicejet,2021-05-11 10:10:04.646694
" 6,264","Bagdogra to Srinagar , 12 May",12:05,08:10,1 stop via New Delhi,Spicejet,2021-05-11 10:10:04.646694
" 6,264","Bagdogra to Srinagar , 12 May",15:35,11:55,1 stop via New Delhi,Spicejet,2021-05-11 10:10:04.646694
" 6,264","Bagdogra to Srinagar , 12 May",15:35,12:45,1 stop via New Delhi,Spicejet,2021-05-11 10:10:04.646694
" 6,264","Bagdogra to Srinagar , 12 May",12:05,11:55,1 stop via New Delhi,Spicejet,2021-05-11 10:10:04.646694
" 6,264","Bagdogra to Srinagar , 12 May",15:35,16:10,1 stop via New Delhi,Spicejet,2021-05-11 10:10:04.646694
" 6,264","Bagdogra to Srinagar , 12 May",12:05,12:45,1 stop via New Delhi,Spicejet,2021-05-11 10:10:04.646694
" 7,185","Bagdogra to Ranchi , 12 May",14:10,19:40,1 stop via New Delhi,Vistara,2021-05-11 10:11:30.875413
" 8,132","Bagdogra to Amritsar , 12 May",12:05,18:45,1 stop via New Delhi,Spicejet,2021-05-11 10:12:20.980148
" 9,345","Bagdogra to Mangalore , 12 May",09:20,18:10,1 stop via Bengaluru,Spicejet,2021-05-11 10:14:50.000617
" 9,345","Bagdogra to Mangalore , 12 May",09:20,08:05,1 stop via Bengaluru,Spicejet,2021-05-11 10:14:50.000617
" 4,965","Varanasi to New Delhi , 12 May",15:20,16:55,Non stop,Vistara,2021-05-11 10:32:19.398307
" 11,012","Varanasi to New Delhi , 12 May",16:10,21:55,1 stop via Mumbai,Vistara,2021-05-11 10:32:19.398307
