Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 4,411","Amritsar to New Delhi , 15 May",09:55,11:10,Non stop,Vistara,2021-05-12 19:40:50.228759
" 4,411","Amritsar to New Delhi , 15 May",15:25,16:40,Non stop,Vistara,2021-05-12 19:40:50.228759
" 4,771","Amritsar to New Delhi , 15 May",19:10,20:20,Non stop,Spicejet,2021-05-12 19:40:50.228759
" 7,480","Amritsar to Mumbai , 15 May",09:55,15:00,1 stop via New Delhi,Vistara,2021-05-12 19:41:35.454702
" 6,808","Amritsar to Mumbai , 15 May",19:10,09:35,1 stop via New Delhi,Spicejet,2021-05-12 19:41:35.454702
" 6,808","Amritsar to Mumbai , 15 May",18:55,10:35,1 stop via Jaipur,Spicejet,2021-05-12 19:41:35.454702
" 6,808","Amritsar to Mumbai , 15 May",07:50,06:35,1 stop via Ahmedabad,Spicejet,2021-05-12 19:41:35.454702
" 8,390","Amritsar to Bengaluru , 15 May",09:55,17:05,1 stop via New Delhi,Vistara,2021-05-12 19:42:19.578885
" 6,669","Amritsar to Bengaluru , 15 May",19:10,08:50,1 stop via New Delhi,Spicejet,2021-05-12 19:42:19.578885
" 6,669","Amritsar to Bengaluru , 15 May",07:50,08:05,1 stop via Ahmedabad,Spicejet,2021-05-12 19:42:19.578885
" 6,669","Amritsar to Bengaluru , 15 May",11:55,13:20,1 stop via Patna,Spicejet,2021-05-12 19:42:19.578885
" 7,481","Amritsar to Hyderabad , 15 May",09:55,17:00,1 stop via New Delhi,Vistara,2021-05-12 19:43:09.461118
" 12,426","Amritsar to Hyderabad , 15 May",11:55,19:35,1 stop via Patna,Spicejet,2021-05-12 19:43:09.461118
" 10,682","Amritsar to Chennai , 15 May",09:55,16:20,1 stop via New Delhi,Vistara,2021-05-12 19:43:54.574870
" 6,691","Amritsar to Chennai , 15 May",11:55,23:10,1 stop via Patna,Spicejet,2021-05-12 19:43:54.574870
" 6,691","Amritsar to Chennai , 15 May",19:10,09:10,1 stop via New Delhi,Spicejet,2021-05-12 19:43:54.574870
" 6,691","Amritsar to Chennai , 15 May",07:50,22:10,1 stop via Ahmedabad,Spicejet,2021-05-12 19:43:54.574870
" 7,481","Amritsar to Kolkata , 15 May",15:25,08:20,1 stop via New Delhi,Vistara,2021-05-12 19:44:40.307465
