Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 6,663","New Delhi to Bengaluru , 17 May",14:15,17:05,Non stop,Vistara,2021-05-13 14:04:14.621912
" 6,626","New Delhi to Bengaluru , 17 May",07:00,12:45,1 stop via Goa,Spicejet,2021-05-13 14:04:14.621912
" 6,626","New Delhi to Bengaluru , 17 May",07:25,13:20,1 stop via Patna,Spicejet,2021-05-13 14:04:14.621912
" 6,855","New Delhi to Bengaluru , 17 May",06:15,08:50,Non stop,Spicejet,2021-05-13 14:04:14.621912
" 6,855","New Delhi to Bengaluru , 17 May",20:05,22:55,Non stop,Spicejet,2021-05-13 14:04:14.621912
" 5,319","New Delhi to Hyderabad , 17 May",14:45,17:00,Non stop,Vistara,2021-05-13 14:04:37.101700
" 5,363","New Delhi to Hyderabad , 17 May",14:50,20:40,1 stop via Jharsuguda,Spicejet,2021-05-13 14:04:37.101700
" 5,594","New Delhi to Hyderabad , 17 May",20:20,22:30,Non stop,Spicejet,2021-05-13 14:04:37.101700
" 5,594","New Delhi to Hyderabad , 17 May",16:35,20:30,1 stop via Pune,Spicejet,2021-05-13 14:04:37.101700
" 6,663","New Delhi to Chennai , 17 May",16:25,19:10,Non stop,Vistara,2021-05-13 14:05:01.816743
" 6,663","New Delhi to Chennai , 17 May",13:30,16:20,Non stop,Vistara,2021-05-13 14:05:01.816743
" 6,625","New Delhi to Chennai , 17 May",07:00,16:50,1 stop via Goa,Spicejet,2021-05-13 14:05:01.816743
" 6,625","New Delhi to Chennai , 17 May",20:20,06:55,1 stop via Hyderabad,Spicejet,2021-05-13 14:05:01.816743
" 6,855","New Delhi to Chennai , 17 May",18:55,21:35,Non stop,Spicejet,2021-05-13 14:05:01.816743
" 6,855","New Delhi to Chennai , 17 May",06:10,09:10,Non stop,Spicejet,2021-05-13 14:05:01.816743
" 5,319","New Delhi to Kolkata , 17 May",07:30,09:35,Non stop,Vistara,2021-05-13 14:05:24.437118
" 5,369","New Delhi to Kolkata , 17 May",09:25,14:20,1 stop via Bagdogra,Spicejet,2021-05-13 14:05:24.437118
" 5,369","New Delhi to Kolkata , 17 May",13:10,18:05,1 stop via Darbhanga,Spicejet,2021-05-13 14:05:24.437118
" 5,369","New Delhi to Kolkata , 17 May",11:10,18:05,1 stop via Darbhanga,Spicejet,2021-05-13 14:05:24.437118
" 5,369","New Delhi to Kolkata , 17 May",14:50,17:05,1 stop via Jharsuguda,Spicejet,2021-05-13 14:05:24.437118
" 5,595","New Delhi to Kolkata , 17 May",18:20,20:30,Non stop,Spicejet,2021-05-13 14:05:24.437118
" 5,595","New Delhi to Kolkata , 17 May",05:30,08:05,Non stop,Spicejet,2021-05-13 14:05:24.437118
" 7,895","New Delhi to Kochi , 17 May",15:40,18:50,Non stop,Vistara,2021-05-13 14:05:47.092751
" 5,669","New Delhi to Kochi , 17 May",19:45,20:05,1 stop via Mumbai,Spicejet,2021-05-13 14:05:47.092751
" 5,669","New Delhi to Kochi , 17 May",18:45,20:05,1 stop via Mumbai,Spicejet,2021-05-13 14:05:47.092751
" 6,663","New Delhi to Goa , 17 May",11:10,13:50,Non stop,Vistara,2021-05-13 14:06:09.642070
" 6,931","New Delhi to Goa , 17 May",06:15,11:05,1 stop via Bengaluru,Spicejet,2021-05-13 14:06:09.642070
" 6,931","New Delhi to Goa , 17 May",07:20,13:00,1 stop via Mumbai,Spicejet,2021-05-13 14:06:09.642070
