Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 6,159","New Delhi to Mumbai , 21 May",12:50,15:00,Non stop,Vistara,2021-05-14 17:43:29.519259
" 6,159","New Delhi to Mumbai , 21 May",15:30,17:40,Non stop,Vistara,2021-05-14 17:43:29.519259
" 5,326","New Delhi to Mumbai , 21 May",07:00,15:05,1 stop via Dehradun,Spicejet,2021-05-14 17:43:29.519259
" 5,326","New Delhi to Mumbai , 21 May",18:15,15:05,1 stop via Dehradun,Spicejet,2021-05-14 17:43:29.519259
" 5,326","New Delhi to Mumbai , 21 May",05:45,06:35,1 stop via Ahmedabad,Spicejet,2021-05-14 17:43:29.519259
" 5,595","New Delhi to Mumbai , 21 May",18:45,21:05,Non stop,Spicejet,2021-05-14 17:43:29.519259
" 5,595","New Delhi to Mumbai , 21 May",19:45,22:05,Non stop,Spicejet,2021-05-14 17:43:29.519259
" 6,663","New Delhi to Bengaluru , 21 May",14:15,17:05,Non stop,Vistara,2021-05-14 17:43:35.107145
" 6,626","New Delhi to Bengaluru , 21 May",07:25,13:20,1 stop via Patna,Spicejet,2021-05-14 17:43:35.107145
" 6,855","New Delhi to Bengaluru , 21 May",06:15,08:50,Non stop,Spicejet,2021-05-14 17:43:35.107145
" 6,855","New Delhi to Bengaluru , 21 May",20:05,22:55,Non stop,Spicejet,2021-05-14 17:43:35.107145
" 5,319","New Delhi to Hyderabad , 21 May",14:45,17:00,Non stop,Vistara,2021-05-14 17:43:57.750603
" 5,363","New Delhi to Hyderabad , 21 May",14:50,20:40,1 stop via Jharsuguda,Spicejet,2021-05-14 17:43:57.750603
" 5,594","New Delhi to Hyderabad , 21 May",20:20,22:30,Non stop,Spicejet,2021-05-14 17:43:57.750603
" 5,594","New Delhi to Hyderabad , 21 May",16:35,20:30,1 stop via Pune,Spicejet,2021-05-14 17:43:57.750603
" 6,663","New Delhi to Chennai , 21 May",13:30,16:20,Non stop,Vistara,2021-05-14 17:44:23.163115
" 6,625","New Delhi to Chennai , 21 May",07:00,16:50,1 stop via Goa,Spicejet,2021-05-14 17:44:23.163115
" 6,625","New Delhi to Chennai , 21 May",20:20,06:55,1 stop via Hyderabad,Spicejet,2021-05-14 17:44:23.163115
" 6,855","New Delhi to Chennai , 21 May",18:55,21:35,Non stop,Spicejet,2021-05-14 17:44:23.163115
" 6,855","New Delhi to Chennai , 21 May",06:10,09:10,Non stop,Spicejet,2021-05-14 17:44:23.163115
" 5,319","New Delhi to Kolkata , 21 May",07:30,09:35,Non stop,Vistara,2021-05-14 17:44:45.698778
" 5,369","New Delhi to Kolkata , 21 May",09:25,14:20,1 stop via Bagdogra,Spicejet,2021-05-14 17:44:45.698778
" 5,369","New Delhi to Kolkata , 21 May",13:10,18:05,1 stop via Darbhanga,Spicejet,2021-05-14 17:44:45.698778
" 5,369","New Delhi to Kolkata , 21 May",11:10,18:05,1 stop via Darbhanga,Spicejet,2021-05-14 17:44:45.698778
" 5,595","New Delhi to Kolkata , 21 May",18:20,20:30,Non stop,Spicejet,2021-05-14 17:44:45.698778
" 5,595","New Delhi to Kolkata , 21 May",05:30,08:05,Non stop,Spicejet,2021-05-14 17:44:45.698778
" 7,895","New Delhi to Kochi , 21 May",15:40,18:50,Non stop,Vistara,2021-05-14 17:45:08.371135
" 5,669","New Delhi to Kochi , 21 May",19:45,20:05,1 stop via Mumbai,Spicejet,2021-05-14 17:45:08.371135
" 5,669","New Delhi to Kochi , 21 May",18:45,20:05,1 stop via Mumbai,Spicejet,2021-05-14 17:45:08.371135
" 6,663","New Delhi to Goa , 21 May",11:10,13:50,Non stop,Vistara,2021-05-14 17:45:31.137125
" 9,743","New Delhi to Goa , 21 May",15:30,12:45,1 stop via Mumbai,Vistara,2021-05-14 17:45:31.137125
" 6,931","New Delhi to Goa , 21 May",06:15,11:05,1 stop via Bengaluru,Spicejet,2021-05-14 17:45:31.137125
" 6,931","New Delhi to Goa , 21 May",06:10,14:50,1 stop via Chennai,Spicejet,2021-05-14 17:45:31.137125
" 6,931","New Delhi to Goa , 21 May",05:45,17:30,1 stop via Ahmedabad,Spicejet,2021-05-14 17:45:31.137125
" 6,931","New Delhi to Goa , 21 May",20:05,11:05,1 stop via Bengaluru,Spicejet,2021-05-14 17:45:31.137125
" 6,931","New Delhi to Goa , 21 May",19:45,13:00,1 stop via Mumbai,Spicejet,2021-05-14 17:45:31.137125
" 6,931","New Delhi to Goa , 21 May",18:45,13:00,1 stop via Mumbai,Spicejet,2021-05-14 17:45:31.137125
" 6,931","New Delhi to Goa , 21 May",20:20,14:50,1 stop via Hyderabad,Spicejet,2021-05-14 17:45:31.137125
" 6,931","New Delhi to Goa , 21 May",18:55,14:50,1 stop via Chennai,Spicejet,2021-05-14 17:45:31.137125
" 6,931","New Delhi to Goa , 21 May",20:10,17:30,1 stop via Ahmedabad,Spicejet,2021-05-14 17:45:31.137125
" 7,155","New Delhi to Goa , 21 May",07:00,09:25,Non stop,Spicejet,2021-05-14 17:45:31.137125
" 5,319","New Delhi to Pune , 21 May",10:25,12:35,Non stop,Vistara,2021-05-14 17:46:13.225198
" 5,370","New Delhi to Pune , 21 May",20:20,08:05,1 stop via Hyderabad,Spicejet,2021-05-14 17:46:13.225198
" 5,370","New Delhi to Pune , 21 May",05:45,18:35,1 stop via Ahmedabad,Spicejet,2021-05-14 17:46:13.225198
" 5,370","New Delhi to Pune , 21 May",20:10,18:35,1 stop via Ahmedabad,Spicejet,2021-05-14 17:46:13.225198
" 5,595","New Delhi to Pune , 21 May",08:40,10:45,Non stop,Spicejet,2021-05-14 17:46:13.225198
" 5,595","New Delhi to Pune , 21 May",16:35,18:55,Non stop,Spicejet,2021-05-14 17:46:13.225198
" 5,990","New Delhi to Guwahati , 21 May",09:40,12:05,Non stop,Vistara,2021-05-14 17:46:32.639066
" 6,131","New Delhi to Guwahati , 21 May",15:10,20:25,1 stop via Patna,Spicejet,2021-05-14 17:46:32.639066
" 6,131","New Delhi to Guwahati , 21 May",07:25,20:25,1 stop via Patna,Spicejet,2021-05-14 17:46:32.639066
" 6,131","New Delhi to Guwahati , 21 May",09:20,09:10,1 stop via Durgapur,Spicejet,2021-05-14 17:46:32.639066
" 6,131","New Delhi to Guwahati , 21 May",19:10,20:25,1 stop via Patna,Spicejet,2021-05-14 17:46:32.639066
" 6,589","New Delhi to Guwahati , 21 May",10:15,12:45,Non stop,Spicejet,2021-05-14 17:46:32.639066
" 6,589","New Delhi to Guwahati , 21 May",18:00,20:30,Non stop,Spicejet,2021-05-14 17:46:32.639066
" 3,975","New Delhi to Lucknow , 21 May",13:35,14:50,Non stop,Vistara,2021-05-14 17:46:55.317489
" 9,239","New Delhi to Thiruvananthapuram , 21 May",09:00,12:15,Non stop,Vistara,2021-05-14 17:47:48.549550
" 5,319","New Delhi to Bhubaneswar , 21 May",07:00,09:05,Non stop,Vistara,2021-05-14 17:48:11.367409
" 4,790","New Delhi to Bagdogra , 21 May",07:50,09:45,Non stop,Vistara,2021-05-14 17:48:57.940132
" 5,389","New Delhi to Bagdogra , 21 May",13:10,15:00,Non stop,Spicejet,2021-05-14 17:48:57.940132
" 5,389","New Delhi to Bagdogra , 21 May",09:25,11:35,Non stop,Spicejet,2021-05-14 17:48:57.940132
" 10,049","New Delhi to Varanasi , 21 May",15:30,15:35,1 stop via Mumbai,Vistara,2021-05-14 17:49:43.426582
" 5,265","New Delhi to Varanasi , 21 May",16:25,18:20,Non stop,Spicejet,2021-05-14 17:49:43.426582
" 4,647","New Delhi to Indore , 21 May",08:30,09:45,Non stop,Vistara,2021-05-14 17:50:06.145011
" 4,703","New Delhi to Srinagar , 21 May",10:40,12:05,Non stop,Vistara,2021-05-14 17:50:51.652217
" 4,005","New Delhi to Srinagar , 21 May",07:10,15:35,1 stop via Jammu,Spicejet,2021-05-14 17:50:51.652217
" 4,237","New Delhi to Srinagar , 21 May",06:45,08:10,Non stop,Spicejet,2021-05-14 17:50:51.652217
" 4,237","New Delhi to Srinagar , 21 May",11:20,12:45,Non stop,Spicejet,2021-05-14 17:50:51.652217
" 4,237","New Delhi to Srinagar , 21 May",14:45,16:10,Non stop,Spicejet,2021-05-14 17:50:51.652217
" 4,237","New Delhi to Srinagar , 21 May",10:25,11:55,Non stop,Spicejet,2021-05-14 17:50:51.652217
" 4,237","New Delhi to Srinagar , 21 May",07:10,10:05,1 stop via Jammu,Spicejet,2021-05-14 17:50:51.652217
" 5,895","New Delhi to Visakhapatnam , 21 May",20:20,08:30,1 stop via Hyderabad,Spicejet,2021-05-14 17:51:14.576341
" 5,319","New Delhi to Ranchi , 21 May",18:00,19:40,Non stop,Vistara,2021-05-14 17:51:34.332099
" 4,965","New Delhi to Ranchi , 21 May",16:50,18:45,Non stop,Spicejet,2021-05-14 17:51:34.332099
" 3,975","New Delhi to Amritsar , 21 May",13:40,14:50,Non stop,Vistara,2021-05-14 17:51:57.596449
" 4,335","New Delhi to Amritsar , 21 May",19:20,20:50,Non stop,Spicejet,2021-05-14 17:51:57.596449
" 3,303","New Delhi to Chandigarh , 21 May",13:40,14:45,Non stop,Vistara,2021-05-14 17:52:20.748741
" 10,049","New Delhi to Chandigarh , 21 May",15:30,12:20,1 stop via Mumbai,Vistara,2021-05-14 17:52:20.748741
" 10,694","New Delhi to Chandigarh , 21 May",12:50,12:20,1 stop via Mumbai,Vistara,2021-05-14 17:52:20.748741
" 5,499","New Delhi to Mangalore , 21 May",06:15,18:10,1 stop via Bengaluru,Spicejet,2021-05-14 17:53:05.893808
" 5,499","New Delhi to Mangalore , 21 May",20:05,08:05,1 stop via Bengaluru,Spicejet,2021-05-14 17:53:05.893808
" 5,499","New Delhi to Mangalore , 21 May",20:20,20:15,1 stop via Hyderabad,Spicejet,2021-05-14 17:53:05.893808
" 9,288","New Delhi to Port Blair , 21 May",18:20,08:15,1 stop via Kolkata,Spicejet,2021-05-14 17:53:28.475925
" 9,288","New Delhi to Port Blair , 21 May",18:55,09:20,1 stop via Chennai,Spicejet,2021-05-14 17:53:28.475925
" 9,288","New Delhi to Port Blair , 21 May",05:30,08:15,1 stop via Kolkata,Spicejet,2021-05-14 17:53:28.475925
" 9,288","New Delhi to Port Blair , 21 May",06:10,09:20,1 stop via Chennai,Spicejet,2021-05-14 17:53:28.475925
" 6,147","Mumbai to New Delhi , 21 May",10:25,12:40,Non stop,Vistara,2021-05-14 17:54:19.222936
" 7,267","Mumbai to New Delhi , 21 May",19:45,21:55,Non stop,Vistara,2021-05-14 17:54:19.222936
" 5,583","Mumbai to New Delhi , 21 May",07:20,09:35,Non stop,Spicejet,2021-05-14 17:54:19.222936
" 5,583","Mumbai to New Delhi , 21 May",20:50,23:10,Non stop,Spicejet,2021-05-14 17:54:19.222936
" 8,890","Mumbai to Bengaluru , 21 May",10:25,17:05,1 stop via New Delhi,Vistara,2021-05-14 17:54:59.026953
" 4,723","Mumbai to Bengaluru , 21 May",11:30,16:35,1 stop via Goa,Spicejet,2021-05-14 17:54:59.026953
" 4,953","Mumbai to Bengaluru , 21 May",21:45,23:30,Non stop,Spicejet,2021-05-14 17:54:59.026953
" 7,980","Mumbai to Hyderabad , 21 May",10:25,17:00,1 stop via New Delhi,Vistara,2021-05-14 17:55:21.667938
" 4,322","Mumbai to Hyderabad , 21 May",21:30,23:05,Non stop,Spicejet,2021-05-14 17:55:21.667938
" 4,322","Mumbai to Hyderabad , 21 May",17:55,16:30,1 stop via Belgaum,Spicejet,2021-05-14 17:55:21.667938
" 12,419","Mumbai to Chennai , 21 May",10:25,16:20,1 stop via New Delhi,Vistara,2021-05-14 17:55:44.429800
" 5,372","Mumbai to Chennai , 21 May",11:30,16:50,1 stop via Goa,Spicejet,2021-05-14 17:55:44.429800
" 5,372","Mumbai to Chennai , 21 May",21:30,06:55,1 stop via Hyderabad,Spicejet,2021-05-14 17:55:44.429800
" 5,372","Mumbai to Chennai , 21 May",21:45,20:55,1 stop via Bengaluru,Spicejet,2021-05-14 17:55:44.429800
" 5,372","Mumbai to Chennai , 21 May",22:50,22:10,1 stop via Ahmedabad,Spicejet,2021-05-14 17:55:44.429800
" 5,372","Mumbai to Chennai , 21 May",15:35,16:50,1 stop via Goa,Spicejet,2021-05-14 17:55:44.429800
" 5,582","Mumbai to Chennai , 21 May",19:55,21:45,Non stop,Spicejet,2021-05-14 17:55:44.429800
" 5,582","Mumbai to Chennai , 21 May",06:00,08:00,Non stop,Spicejet,2021-05-14 17:55:44.429800
" 7,143","Mumbai to Kolkata , 21 May",05:50,08:35,Non stop,Spicejet,2021-05-14 17:56:07.044831
" 7,143","Mumbai to Kolkata , 21 May",16:10,18:55,Non stop,Spicejet,2021-05-14 17:56:07.044831
" 7,229","Mumbai to Kolkata , 21 May",11:20,18:05,1 stop via Darbhanga,Spicejet,2021-05-14 17:56:07.044831
" 9,653","Mumbai to Kochi , 21 May",10:25,18:50,1 stop via New Delhi,Vistara,2021-05-14 17:56:29.928166
" 3,963","Mumbai to Goa , 21 May",11:25,12:45,Non stop,Vistara,2021-05-14 17:56:52.638000
" 11,297","Mumbai to Goa , 21 May",19:45,13:50,1 stop via New Delhi,Vistara,2021-05-14 17:56:52.638000
" 4,323","Mumbai to Goa , 21 May",11:30,13:00,Non stop,Spicejet,2021-05-14 17:56:52.638000
" 4,323","Mumbai to Goa , 21 May",15:35,17:05,Non stop,Spicejet,2021-05-14 17:56:52.638000
" 12,128","Mumbai to Guwahati , 21 May",19:45,12:05,1 stop via New Delhi,Vistara,2021-05-14 17:57:30.442730
" 6,857","Mumbai to Guwahati , 21 May",07:20,20:30,1 stop via New Delhi,Spicejet,2021-05-14 17:57:30.442730
" 6,857","Mumbai to Guwahati , 21 May",18:00,09:10,1 stop via Durgapur,Spicejet,2021-05-14 17:57:30.442730
" 6,857","Mumbai to Guwahati , 21 May",05:40,21:00,1 stop via Varanasi,Spicejet,2021-05-14 17:57:30.442730
" 7,977","Mumbai to Guwahati , 21 May",14:15,16:45,Non stop,Spicejet,2021-05-14 17:57:30.442730
" 7,977","Mumbai to Guwahati , 21 May",07:20,12:45,1 stop via New Delhi,Spicejet,2021-05-14 17:57:30.442730
" 7,032","Mumbai to Lucknow , 21 May",10:25,14:50,1 stop via New Delhi,Vistara,2021-05-14 17:57:52.994098
" 4,724","Mumbai to Jaipur , 21 May",22:50,22:30,1 stop via Ahmedabad,Spicejet,2021-05-14 17:58:15.637092
" 4,953","Mumbai to Jaipur , 21 May",06:05,08:05,Non stop,Spicejet,2021-05-14 17:58:15.637092
" 7,614","Mumbai to Patna , 21 May",10:25,19:55,1 stop via New Delhi,Vistara,2021-05-14 17:58:19.596041
" 7,142","Mumbai to Patna , 21 May",19:10,21:40,Non stop,Spicejet,2021-05-14 17:58:19.596041
" 16,114","Mumbai to Thiruvananthapuram , 21 May",19:45,12:15,1 stop via New Delhi,Vistara,2021-05-14 17:58:39.451134
" 12,194","Mumbai to Bhubaneswar , 21 May",19:45,09:05,1 stop via New Delhi,Vistara,2021-05-14 17:59:02.799551
