Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 6,159","New Delhi to Mumbai , 22 May",12:50,15:00,Non stop,Vistara,2021-05-14 23:55:18.183862
" 6,159","New Delhi to Mumbai , 22 May",15:30,17:40,Non stop,Vistara,2021-05-14 23:55:18.183862
" 5,326","New Delhi to Mumbai , 22 May",20:10,06:35,1 stop via Ahmedabad,Spicejet,2021-05-14 23:55:18.183862
" 5,326","New Delhi to Mumbai , 22 May",18:15,15:05,1 stop via Dehradun,Spicejet,2021-05-14 23:55:18.183862
" 5,595","New Delhi to Mumbai , 22 May",07:20,09:35,Non stop,Spicejet,2021-05-14 23:55:18.183862
" 5,595","New Delhi to Mumbai , 22 May",18:45,21:05,Non stop,Spicejet,2021-05-14 23:55:18.183862
" 5,595","New Delhi to Mumbai , 22 May",19:45,22:05,Non stop,Spicejet,2021-05-14 23:55:18.183862
" 6,663","New Delhi to Bengaluru , 22 May",14:15,17:05,Non stop,Vistara,2021-05-14 23:55:41.043743
" 6,626","New Delhi to Bengaluru , 22 May",07:25,13:20,1 stop via Patna,Spicejet,2021-05-14 23:55:41.043743
" 6,855","New Delhi to Bengaluru , 22 May",06:15,08:50,Non stop,Spicejet,2021-05-14 23:55:41.043743
" 6,855","New Delhi to Bengaluru , 22 May",20:05,22:55,Non stop,Spicejet,2021-05-14 23:55:41.043743
" 5,319","New Delhi to Hyderabad , 22 May",14:45,17:00,Non stop,Vistara,2021-05-14 23:56:04.900772
" 5,363","New Delhi to Hyderabad , 22 May",14:50,20:40,1 stop via Jharsuguda,Spicejet,2021-05-14 23:56:04.900772
" 5,594","New Delhi to Hyderabad , 22 May",20:20,22:30,Non stop,Spicejet,2021-05-14 23:56:04.900772
" 5,594","New Delhi to Hyderabad , 22 May",16:35,20:30,1 stop via Pune,Spicejet,2021-05-14 23:56:04.900772
" 6,663","New Delhi to Chennai , 22 May",13:30,16:20,Non stop,Vistara,2021-05-14 23:56:27.304491
" 6,625","New Delhi to Chennai , 22 May",15:10,23:10,1 stop via Patna,Spicejet,2021-05-14 23:56:27.304491
" 6,625","New Delhi to Chennai , 22 May",08:35,16:50,1 stop via Goa,Spicejet,2021-05-14 23:56:27.304491
" 6,625","New Delhi to Chennai , 22 May",07:00,16:50,1 stop via Goa,Spicejet,2021-05-14 23:56:27.304491
" 6,855","New Delhi to Chennai , 22 May",18:55,21:35,Non stop,Spicejet,2021-05-14 23:56:27.304491
" 6,855","New Delhi to Chennai , 22 May",06:10,09:10,Non stop,Spicejet,2021-05-14 23:56:27.304491
" 5,319","New Delhi to Kolkata , 22 May",06:15,08:20,Non stop,Vistara,2021-05-14 23:56:52.024457
" 5,369","New Delhi to Kolkata , 22 May",09:25,14:20,1 stop via Bagdogra,Spicejet,2021-05-14 23:56:52.024457
" 5,369","New Delhi to Kolkata , 22 May",13:10,18:05,1 stop via Darbhanga,Spicejet,2021-05-14 23:56:52.024457
" 5,369","New Delhi to Kolkata , 22 May",11:10,18:05,1 stop via Darbhanga,Spicejet,2021-05-14 23:56:52.024457
" 5,369","New Delhi to Kolkata , 22 May",14:50,10:40,1 stop via Jharsuguda,Spicejet,2021-05-14 23:56:52.024457
" 5,595","New Delhi to Kolkata , 22 May",18:20,20:30,Non stop,Spicejet,2021-05-14 23:56:52.024457
" 5,595","New Delhi to Kolkata , 22 May",05:30,08:05,Non stop,Spicejet,2021-05-14 23:56:52.024457
" 7,895","New Delhi to Kochi , 22 May",15:40,18:50,Non stop,Vistara,2021-05-14 23:57:14.537360
" 5,669","New Delhi to Kochi , 22 May",07:20,20:05,1 stop via Mumbai,Spicejet,2021-05-14 23:57:14.537360
" 5,669","New Delhi to Kochi , 22 May",19:45,20:05,1 stop via Mumbai,Spicejet,2021-05-14 23:57:14.537360
" 6,663","New Delhi to Goa , 22 May",11:10,13:50,Non stop,Vistara,2021-05-14 23:57:37.270746
" 6,931","New Delhi to Goa , 22 May",06:15,11:05,1 stop via Bengaluru,Spicejet,2021-05-14 23:57:37.270746
