Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time,Cabin
"6,855","New Delhi to Chennai , 10 May",18:55,21:35,Non stop,Spicejet,2021-05-10 16:34:04,PE
"12,168","New Delhi to Chennai , 10 May",19:10,13:15,1 stop via Patna,Spicejet,2021-05-10 16:34:04,PE
"10,096","New Delhi to Guwahati , 10 May",19:10,20:25,1 stop via Patna,Spicejet,2021-05-10 16:36:14,PE
"11,788","New Delhi to Patna , 10 May",19:10,20:50,Non stop,Spicejet,2021-05-10 16:37:14,PE
"6,147","Mumbai to New Delhi , 10 May",19:45,21:55,Non stop,Vistara,2021-05-10 16:44:39,PE
"8,890","Mumbai to Bengaluru , 10 May",19:45,17:05,1 stop via New Delhi,Vistara,2021-05-10 16:45:10,PE
"4,953","Mumbai to Bengaluru , 10 May",21:45,23:30,Non stop,Spicejet,2021-05-10 16:45:10,PE
"7,980","Mumbai to Hyderabad , 10 May",19:45,17:00,1 stop via New Delhi,Vistara,2021-05-10 16:45:32,PE
"5,372","Mumbai to Chennai , 10 May",21:45,23:05,1 stop via Bengaluru,Spicejet,2021-05-10 16:45:55,PE
"7,980","Mumbai to Kolkata , 10 May",19:45,08:20,1 stop via New Delhi,Vistara,2021-05-10 16:46:18,PE
"10,215","Mumbai to Kolkata , 10 May",21:45,20:40,1 stop via Bengaluru,Spicejet,2021-05-10 16:46:18,PE
"10,897","Mumbai to Kolkata , 10 May",21:45,08:25,1 stop via Bengaluru,Spicejet,2021-05-10 16:46:18,PE
"5,883","Mumbai to Thiruvananthapuram , 10 May",21:45,14:45,1 stop via Bengaluru,Spicejet,2021-05-10 16:48:19,PE
"7,978","Mumbai to Bhubaneswar , 10 May",19:45,09:05,1 stop via New Delhi,Vistara,2021-05-10 16:48:37,PE
"7,179","Mumbai to Bagdogra , 10 May",19:45,09:45,1 stop via New Delhi,Vistara,2021-05-10 16:49:22,PE
"5,252","Mumbai to Coimbatore , 10 May",21:45,18:05,1 stop via Bengaluru,Spicejet,2021-05-10 16:50:48,PE
"5,045","Mumbai to Visakhapatnam , 11 May",21:30,08:30,1 stop via Hyderabad,Spicejet,2021-05-10 16:51:40,PE
"6,449","Mumbai to Amritsar , 10 May",22:50,18:35,1 stop via Ahmedabad,Spicejet,2021-05-10 16:52:26,PE
"6,686","Bengaluru to New Delhi , 10 May",19:05,21:55,1 stop via Mumbai,Spicejet,2021-05-10 16:54:28,PE
"5,026","Bengaluru to Mumbai , 10 May",19:05,21:05,Non stop,Spicejet,2021-05-10 16:55:00,PE
"5,818","Bengaluru to Kolkata , 11 May",18:05,20:40,Non stop,Spicejet,2021-05-10 16:55:51,PE
"7,427","Bengaluru to Goa , 11 May",09:50,11:05,Non stop,Spicejet,2021-05-10 16:56:18,PE
"7,424","Bengaluru to Guwahati , 10 May",19:05,16:45,1 stop via Mumbai,Spicejet,2021-05-10 16:57:00,PE
"6,690","Bengaluru to Patna , 10 May",19:05,13:00,1 stop via Mumbai,Spicejet,2021-05-10 16:58:08,PE
"8,148","Bengaluru to Varanasi , 10 May",19:05,17:10,1 stop via Mumbai,Spicejet,2021-05-10 17:00:26,PE
"4,871","Hyderabad to Mangalore , 11 May",18:40,20:15,Non stop,Spicejet,2021-05-10 17:21:59,PE
"6,885","Chennai to New Delhi , 10 May",22:05,00:50,Non stop,Spicejet,2021-05-10 17:23:18,PE
"5,191","Chennai to Pune , 11 May",10:30,12:20,Non stop,Spicejet,2021-05-10 17:27:35,PE
"13,197","Chennai to Guwahati , 10 May",22:05,12:45,1 stop via New Delhi,Spicejet,2021-05-10 17:28:00,PE
"11,642","Chennai to Patna , 10 May",22:05,16:55,1 stop via New Delhi,Spicejet,2021-05-10 17:29:01,PE
"6,624","Chennai to Bagdogra , 10 May",22:05,11:35,1 stop via New Delhi,Spicejet,2021-05-10 17:30:38,PE
"6,779","Chennai to Varanasi , 11 May",10:30,15:25,1 stop via Pune,Spicejet,2021-05-10 17:31:46,PE
"6,706","Chennai to Srinagar , 10 May",22:05,12:45,1 stop via New Delhi,Spicejet,2021-05-10 17:34:05,PE
"6,706","Chennai to Srinagar , 10 May",22:05,16:10,1 stop via New Delhi,Spicejet,2021-05-10 17:34:05,PE
"4,032","Chennai to Mangalore , 11 May",18:55,20:15,1 stop via Hyderabad,Spicejet,2021-05-10 17:37:27,PE
"6,126","Kolkata to New Delhi , 10 May",22:00,00:35,Non stop,Spicejet,2021-05-10 17:40:07,PE
"6,126","Kolkata to Bengaluru , 10 May",22:00,08:25,1 stop via New Delhi,Spicejet,2021-05-10 17:41:04,PE
