Price,Cities,departure_time,arrival_time,Airline,Cabin,Dept_city,Dept_date,arrival_city,stops,duration_time,duration,weekday,dept_hours,Dept_flights_time,optimal_hours
6855,"New Delhi to Chennai , 10 May",18:55,21:35,Spicejet,PE,New Delhi,10,Chennai ,0,0 days 02:40:00,160.0,0,18,Evening_flight,2
12168,"New Delhi to Chennai , 10 May",19:10,13:15,Spicejet,PE,New Delhi,10,Chennai ,1,-1 days +18:05:00,1085.0,0,19,Evening_flight,3
10096,"New Delhi to Guwahati , 10 May",19:10,20:25,Spicejet,PE,New Delhi,10,Guwahati ,1,0 days 01:15:00,75.0,0,19,Evening_flight,3
11788,"New Delhi to Patna , 10 May",19:10,20:50,Spicejet,PE,New Delhi,10,Patna ,0,0 days 01:40:00,100.0,0,19,Evening_flight,3
6147,"Mumbai to New Delhi , 10 May",19:45,21:55,Vistara,PE,Mumbai,10,New Delhi ,0,0 days 02:10:00,130.0,0,19,Evening_flight,3
8890,"Mumbai to Bengaluru , 10 May",19:45,17:05,Vistara,PE,Mumbai,10,Bengaluru ,1,-1 days +21:20:00,1280.0,0,19,Evening_flight,3
4953,"Mumbai to Bengaluru , 10 May",21:45,23:30,Spicejet,PE,Mumbai,10,Bengaluru ,0,0 days 01:45:00,105.0,0,21,Night_flight,5
7980,"Mumbai to Hyderabad , 10 May",19:45,17:00,Vistara,PE,Mumbai,10,Hyderabad ,1,-1 days +21:15:00,1275.0,0,19,Evening_flight,3
5372,"Mumbai to Chennai , 10 May",21:45,23:05,Spicejet,PE,Mumbai,10,Chennai ,1,0 days 01:20:00,80.0,0,21,Night_flight,5
7980,"Mumbai to Kolkata , 10 May",19:45,08:20,Vistara,PE,Mumbai,10,Kolkata ,1,-1 days +12:35:00,755.0,0,19,Evening_flight,3
10215,"Mumbai to Kolkata , 10 May",21:45,20:40,Spicejet,PE,Mumbai,10,Kolkata ,1,-1 days +22:55:00,1375.0,0,21,Night_flight,5
10897,"Mumbai to Kolkata , 10 May",21:45,08:25,Spicejet,PE,Mumbai,10,Kolkata ,1,-1 days +10:40:00,640.0,0,21,Night_flight,5
5883,"Mumbai to Thiruvananthapuram , 10 May",21:45,14:45,Spicejet,PE,Mumbai,10,Thiruvananthapuram ,1,-1 days +17:00:00,1020.0,0,21,Night_flight,5
7978,"Mumbai to Bhubaneswar , 10 May",19:45,09:05,Vistara,PE,Mumbai,10,Bhubaneswar ,1,-1 days +13:20:00,800.0,0,19,Evening_flight,3
7179,"Mumbai to Bagdogra , 10 May",19:45,09:45,Vistara,PE,Mumbai,10,Bagdogra ,1,-1 days +14:00:00,840.0,0,19,Evening_flight,3
5252,"Mumbai to Coimbatore , 10 May",21:45,18:05,Spicejet,PE,Mumbai,10,Coimbatore ,1,-1 days +20:20:00,1220.0,0,21,Night_flight,5
5045,"Mumbai to Visakhapatnam , 11 May",21:30,08:30,Spicejet,PE,Mumbai,11,Visakhapatnam ,1,-1 days +11:00:00,660.0,1,21,Night_flight,5
6449,"Mumbai to Amritsar , 10 May",22:50,18:35,Spicejet,PE,Mumbai,10,Amritsar ,1,-1 days +19:45:00,1185.0,0,22,Night_flight,6
6686,"Bengaluru to New Delhi , 10 May",19:05,21:55,Spicejet,PE,Bengaluru,10,New Delhi ,1,0 days 02:50:00,170.0,0,19,Evening_flight,3
5026,"Bengaluru to Mumbai , 10 May",19:05,21:05,Spicejet,PE,Bengaluru,10,Mumbai ,0,0 days 02:00:00,120.0,0,19,Evening_flight,3
5818,"Bengaluru to Kolkata , 11 May",18:05,20:40,Spicejet,PE,Bengaluru,11,Kolkata ,0,0 days 02:35:00,155.0,1,18,Evening_flight,2
7427,"Bengaluru to Goa , 11 May",09:50,11:05,Spicejet,PE,Bengaluru,11,Goa ,0,0 days 01:15:00,75.0,1,9,Morning_flight,17
7424,"Bengaluru to Guwahati , 10 May",19:05,16:45,Spicejet,PE,Bengaluru,10,Guwahati ,1,-1 days +21:40:00,1300.0,0,19,Evening_flight,3
6690,"Bengaluru to Patna , 10 May",19:05,13:00,Spicejet,PE,Bengaluru,10,Patna ,1,-1 days +17:55:00,1075.0,0,19,Evening_flight,3
8148,"Bengaluru to Varanasi , 10 May",19:05,17:10,Spicejet,PE,Bengaluru,10,Varanasi ,1,-1 days +22:05:00,1325.0,0,19,Evening_flight,2
4871,"Hyderabad to Mangalore , 11 May",18:40,20:15,Spicejet,PE,Hyderabad,11,Mangalore ,0,0 days 01:35:00,95.0,1,18,Evening_flight,1
6885,"Chennai to New Delhi , 10 May",22:05,00:50,Spicejet,PE,Chennai,10,New Delhi ,0,-1 days +02:45:00,165.0,0,22,Night_flight,5
5191,"Chennai to Pune , 11 May",10:30,12:20,Spicejet,PE,Chennai,11,Pune ,0,0 days 01:50:00,110.0,1,10,Morning_flight,17
13197,"Chennai to Guwahati , 10 May",22:05,12:45,Spicejet,PE,Chennai,10,Guwahati ,1,-1 days +14:40:00,880.0,0,22,Night_flight,5
11642,"Chennai to Patna , 10 May",22:05,16:55,Spicejet,PE,Chennai,10,Patna ,1,-1 days +18:50:00,1130.0,0,22,Night_flight,5
6624,"Chennai to Bagdogra , 10 May",22:05,11:35,Spicejet,PE,Chennai,10,Bagdogra ,1,-1 days +13:30:00,810.0,0,22,Night_flight,5
