,Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
0," 4,428","New Delhi to Mumbai , 26 May",16:45,21:40,1 stop via Ahmedabad,Go Air,2021-05-07 17:57:39.348734
1," 4,428","New Delhi to Mumbai , 26 May",12:10,17:45,1 stop via Goa,IndiGo,2021-05-07 17:57:39.348734
2," 4,428","New Delhi to Mumbai , 26 May",16:30,22:10,1 stop via Lucknow,IndiGo,2021-05-07 17:57:39.348734
3," 4,428","New Delhi to Mumbai , 26 May",11:00,16:45,1 stop via Patna,Go Air,2021-05-07 17:57:39.348734
4," 4,428","New Delhi to Mumbai , 26 May",11:00,16:50,1 stop via Amritsar,IndiGo,2021-05-07 17:57:39.348734
5," 4,428","New Delhi to Mumbai , 26 May",12:00,17:50,1 stop via Lucknow,Go Air,2021-05-07 17:57:39.348734
6," 4,428","New Delhi to Mumbai , 26 May",05:20,11:15,1 stop via Srinagar,Go Air,2021-05-07 17:57:39.348734
7," 4,428","New Delhi to Mumbai , 26 May",10:00,15:55,1 stop via Varanasi,IndiGo,2021-05-07 17:57:39.348734
8," 4,428","New Delhi to Mumbai , 26 May",11:35,17:35,1 stop via Hyderabad,IndiGo,2021-05-07 17:57:39.348734
9," 4,428","New Delhi to Mumbai , 26 May",13:35,19:40,1 stop via Hyderabad,IndiGo,2021-05-07 17:57:39.348734
10," 4,428","New Delhi to Mumbai , 26 May",15:30,21:35,1 stop via Ranchi,Go Air,2021-05-07 17:57:39.348734
11," 4,428","New Delhi to Mumbai , 26 May",09:45,17:35,1 stop via Hyderabad,IndiGo,2021-05-07 17:57:39.348734
12," 4,428","New Delhi to Mumbai , 26 May",08:10,16:15,1 stop via Lucknow,IndiGo,2021-05-07 17:57:39.348734
13," 4,428","New Delhi to Mumbai , 26 May",13:45,22:20,"2 stop via Srinagar,Chandigarh",Go Air,2021-05-07 17:57:39.348734
14," 4,428","New Delhi to Mumbai , 26 May",05:35,14:20,1 stop via Hyderabad,AirAsia,2021-05-07 17:57:39.348734
15," 4,428","New Delhi to Mumbai , 26 May",21:15,07:55,1 stop via Lucknow,Go Air,2021-05-07 17:57:39.348734
16," 4,428","New Delhi to Mumbai , 26 May",05:55,16:45,1 stop via Patna,Go Air,2021-05-07 17:57:39.348734
17," 4,428","New Delhi to Mumbai , 26 May",04:45,15:55,1 stop via Varanasi,IndiGo,2021-05-07 17:57:39.348734
18," 4,428","New Delhi to Mumbai , 26 May",16:55,07:55,1 stop via Lucknow,Go Air,2021-05-07 17:57:39.348734
19," 4,429","New Delhi to Mumbai , 26 May",12:00,18:40,1 stop via Goa,Go Air,2021-05-07 17:57:39.348734
20," 4,429","New Delhi to Mumbai , 26 May",10:40,18:40,1 stop via Goa,Go Air,2021-05-07 17:57:39.348734
21," 4,485","New Delhi to Mumbai , 26 May",07:00,15:05,1 stop via Dehradun,Spicejet,2021-05-07 17:57:39.348734
22," 4,694","New Delhi to Mumbai , 26 May",06:50,08:55,Non stop,Go Air,2021-05-07 17:57:39.348734
23," 4,694","New Delhi to Mumbai , 26 May",08:00,10:05,Non stop,Go Air,2021-05-07 17:57:39.348734
24," 4,694","New Delhi to Mumbai , 26 May",18:40,20:45,Non stop,Go Air,2021-05-07 17:57:39.348734
25," 4,694","New Delhi to Mumbai , 26 May",20:50,22:55,Non stop,Go Air,2021-05-07 17:57:39.348734
26," 4,695","New Delhi to Mumbai , 26 May",07:00,09:05,Non stop,Air India,2021-05-07 17:57:39.348734
27," 4,695","New Delhi to Mumbai , 26 May",15:45,17:50,Non stop,IndiGo,2021-05-07 17:57:39.348734
28," 4,695","New Delhi to Mumbai , 26 May",06:10,08:20,Non stop,IndiGo,2021-05-07 17:57:39.348734
29," 4,695","New Delhi to Mumbai , 26 May",08:00,10:10,Non stop,Air India,2021-05-07 17:57:39.348734
30," 5,730","New Delhi to Bengaluru , 26 May",15:45,20:50,1 stop via Mumbai,IndiGo,2021-05-07 17:58:02.359848
31," 5,730","New Delhi to Bengaluru , 26 May",13:35,18:50,1 stop via Hyderabad,IndiGo,2021-05-07 17:58:02.359848
32," 5,730","New Delhi to Bengaluru , 26 May",15:25,20:45,1 stop via Pune,AirAsia,2021-05-07 17:58:02.359848
33," 5,730","New Delhi to Bengaluru , 26 May",06:45,12:20,1 stop via Gorakhpur,IndiGo,2021-05-07 17:58:02.359848
34," 5,730","New Delhi to Bengaluru , 26 May",08:55,14:30,1 stop via Patna,IndiGo,2021-05-07 17:58:02.359848
35," 5,730","New Delhi to Bengaluru , 26 May",12:40,18:20,1 stop via Goa,AirAsia,2021-05-07 17:58:02.359848
36," 5,730","New Delhi to Bengaluru , 26 May",10:00,15:45,1 stop via Varanasi,IndiGo,2021-05-07 17:58:02.359848
37," 5,730","New Delhi to Bengaluru , 26 May",11:35,17:25,1 stop via Hyderabad,IndiGo,2021-05-07 17:58:02.359848
38," 5,730","New Delhi to Bengaluru , 26 May",09:30,15:30,1 stop via Mumbai,IndiGo,2021-05-07 17:58:02.359848
39," 5,730","New Delhi to Bengaluru , 26 May",14:45,21:05,1 stop via Kolkata,IndiGo,2021-05-07 17:58:02.359848
40," 5,730","New Delhi to Bengaluru , 26 May",07:30,13:55,1 stop via Guwahati,AirAsia,2021-05-07 17:58:02.359848
41," 5,730","New Delhi to Bengaluru , 26 May",11:55,18:20,1 stop via Goa,AirAsia,2021-05-07 17:58:02.359848
42," 5,730","New Delhi to Bengaluru , 26 May",12:35,19:05,1 stop via Kolkata,AirAsia,2021-05-07 17:58:02.359848
43," 5,730","New Delhi to Bengaluru , 26 May",04:55,11:30,1 stop via Kolkata,AirAsia,2021-05-07 17:58:02.359848
44," 5,730","New Delhi to Bengaluru , 26 May",09:25,16:45,1 stop via Ranchi,AirAsia,2021-05-07 17:58:02.359848
45," 5,730","New Delhi to Bengaluru , 26 May",08:10,15:35,1 stop via Pune,IndiGo,2021-05-07 17:58:02.359848
46," 5,730","New Delhi to Bengaluru , 26 May",09:50,17:45,1 stop via Chennai,IndiGo,2021-05-07 17:58:02.359848
47," 5,730","New Delhi to Bengaluru , 26 May",12:20,20:20,1 stop via Lucknow,IndiGo,2021-05-07 17:58:02.359848
48," 5,730","New Delhi to Bengaluru , 26 May",10:30,20:55,1 stop via Ahmedabad,AirAsia,2021-05-07 17:58:02.359848
49," 4,464","New Delhi to Hyderabad , 26 May",14:50,20:40,1 stop via Jharsuguda,Spicejet,2021-05-07 17:58:25.461474
50," 4,464","New Delhi to Hyderabad , 26 May",08:40,20:30,1 stop via Pune,Spicejet,2021-05-07 17:58:25.461474
51," 4,464","New Delhi to Hyderabad , 26 May",18:55,07:30,1 stop via Chennai,Spicejet,2021-05-07 17:58:25.461474
52," 4,464","New Delhi to Hyderabad , 26 May",06:10,20:10,1 stop via Chennai,Spicejet,2021-05-07 17:58:25.461474
53," 4,465","New Delhi to Hyderabad , 26 May",12:10,16:40,1 stop via Ahmedabad,IndiGo,2021-05-07 17:58:25.461474
54," 4,465","New Delhi to Hyderabad , 26 May",16:30,21:10,1 stop via Lucknow,IndiGo,2021-05-07 17:58:25.461474
55," 4,465","New Delhi to Hyderabad , 26 May",15:55,21:00,1 stop via Ranchi,IndiGo,2021-05-07 17:58:25.461474
56," 4,465","New Delhi to Hyderabad , 26 May",06:05,11:15,1 stop via Bhubaneswar,IndiGo,2021-05-07 17:58:25.461474
57," 4,465","New Delhi to Hyderabad , 26 May",06:10,12:05,1 stop via Mumbai,IndiGo,2021-05-07 17:58:25.461474
58," 4,465","New Delhi to Hyderabad , 26 May",12:40,19:05,1 stop via Patna,IndiGo,2021-05-07 17:58:25.461474
59," 4,465","New Delhi to Hyderabad , 26 May",09:15,15:45,1 stop via Bengaluru,AirAsia,2021-05-07 17:58:25.461474
60," 4,465","New Delhi to Hyderabad , 26 May",12:40,19:15,1 stop via Goa,AirAsia,2021-05-07 17:58:25.461474
61," 4,465","New Delhi to Hyderabad , 26 May",16:00,23:00,1 stop via Bhubaneswar,IndiGo,2021-05-07 17:58:25.461474
62," 4,465","New Delhi to Hyderabad , 26 May",06:40,13:45,1 stop via Patna,IndiGo,2021-05-07 17:58:25.461474
63," 4,465","New Delhi to Hyderabad , 26 May",11:55,19:15,1 stop via Goa,AirAsia,2021-05-07 17:58:25.461474
64," 4,465","New Delhi to Hyderabad , 26 May",09:50,17:15,1 stop via Chennai,IndiGo,2021-05-07 17:58:25.461474
65," 4,465","New Delhi to Hyderabad , 26 May",08:00,15:45,1 stop via Bengaluru,AirAsia,2021-05-07 17:58:25.461474
66," 4,465","New Delhi to Hyderabad , 26 May",14:10,22:40,1 stop via Raipur,IndiGo,2021-05-07 17:58:25.461474
67," 4,465","New Delhi to Hyderabad , 26 May",20:55,08:05,1 stop via Mumbai,AirAsia,2021-05-07 17:58:25.461474
68," 5,727","New Delhi to Chennai , 26 May",13:35,18:40,1 stop via Hyderabad,IndiGo,2021-05-07 17:58:48.798920
69," 5,727","New Delhi to Chennai , 26 May",11:00,16:10,1 stop via Bengaluru,IndiGo,2021-05-07 17:58:48.798920
70," 5,727","New Delhi to Chennai , 26 May",09:45,15:20,1 stop via Hyderabad,IndiGo,2021-05-07 17:58:48.798920
71," 5,727","New Delhi to Chennai , 26 May",12:40,19:00,1 stop via Patna,IndiGo,2021-05-07 17:58:48.798920
