,Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
0," 7,103","Goa to Pune , 28 May",07:35,12:25,1 stop via Bengaluru,AirAsia,2021-05-09 22:58:53.188462
1," 7,103","Goa to Pune , 28 May",07:35,14:15,1 stop via Bengaluru,AirAsia,2021-05-09 22:58:53.188462
2," 7,606","Goa to Pune , 28 May",07:35,15:35,"2 stop via Bengaluru,Hyderabad","AirAsia, IndiGo",2021-05-09 22:58:53.188462
3," 7,765","Goa to Pune , 28 May",07:35,12:45,1 stop via Bengaluru,"AirAsia, IndiGo",2021-05-09 22:58:53.188462
4," 11,617","Goa to Pune , 28 May",07:30,18:10,"2 stop via Mumbai,New Delhi",Air India,2021-05-09 22:58:53.188462
5," 11,617","Goa to Pune , 28 May",15:20,08:40,"2 stop via Mumbai,New Delhi",Air India,2021-05-09 22:58:53.188462
6," 11,617","Goa to Pune , 28 May",15:20,08:40,"2 stop via Mumbai,New Delhi",Air India,2021-05-09 22:58:53.188462
7," 5,679","Goa to Guwahati , 28 May",08:20,15:20,1 stop via New Delhi,AirAsia,2021-05-09 22:59:40.428615
8," 5,679","Goa to Guwahati , 28 May",11:05,19:50,"2 stop via Ahmedabad,Bengaluru",AirAsia,2021-05-09 22:59:40.428615
9," 5,679","Goa to Guwahati , 28 May",09:55,20:30,1 stop via New Delhi,Spicejet,2021-05-09 22:59:40.428615
10," 5,679","Goa to Guwahati , 28 May",07:35,18:25,1 stop via Bengaluru,AirAsia,2021-05-09 22:59:40.428615
11," 5,679","Goa to Guwahati , 28 May",07:35,19:50,1 stop via Bengaluru,AirAsia,2021-05-09 22:59:40.428615
12," 5,679","Goa to Guwahati , 28 May",08:20,20:55,1 stop via New Delhi,AirAsia,2021-05-09 22:59:40.428615
13," 5,679","Goa to Guwahati , 28 May",17:05,06:40,"2 stop via Bengaluru,Kolkata",AirAsia,2021-05-09 22:59:40.428615
14," 5,679","Goa to Guwahati , 28 May",17:55,10:15,"2 stop via Hyderabad,Bengaluru",AirAsia,2021-05-09 22:59:40.428615
15," 5,679","Goa to Guwahati , 28 May",15:20,10:50,1 stop via Chennai,Spicejet,2021-05-09 22:59:40.428615
16," 5,679","Goa to Guwahati , 28 May",15:00,12:45,1 stop via New Delhi,Spicejet,2021-05-09 22:59:40.428615
17," 5,679","Goa to Guwahati , 28 May",17:35,16:45,1 stop via Mumbai,Spicejet,2021-05-09 22:59:40.428615
18," 5,679","Goa to Guwahati , 28 May",09:55,12:45,1 stop via New Delhi,Spicejet,2021-05-09 22:59:40.428615
19," 6,991","Goa to Guwahati , 28 May",15:05,20:55,1 stop via New Delhi,AirAsia,2021-05-09 22:59:40.428615
20," 11,078","Goa to Guwahati , 28 May",17:35,08:20,1 stop via New Delhi,Go Air,2021-05-09 22:59:40.428615
21," 12,892","Goa to Guwahati , 28 May",15:25,07:35,"2 stop via New Delhi,Kolkata",Air India,2021-05-09 22:59:40.428615
22," 5,929","Goa to Lucknow , 28 May",17:35,22:15,1 stop via New Delhi,Go Air,2021-05-09 23:00:04.514146
23," 5,929","Goa to Lucknow , 28 May",15:00,22:15,1 stop via New Delhi,Go Air,2021-05-09 23:00:04.514146
24," 5,931","Goa to Lucknow , 28 May",11:45,18:25,1 stop via Mumbai,Go Air,2021-05-09 23:00:04.514146
25," 5,931","Goa to Lucknow , 28 May",12:30,19:55,1 stop via Ahmedabad,Go Air,2021-05-09 23:00:04.514146
26," 5,939","Goa to Lucknow , 28 May",13:10,18:20,1 stop via Mumbai,IndiGo,2021-05-09 23:00:04.514146
27," 5,939","Goa to Lucknow , 28 May",16:30,22:00,1 stop via Mumbai,IndiGo,2021-05-09 23:00:04.514146
28," 5,939","Goa to Lucknow , 28 May",15:25,21:15,1 stop via Ahmedabad,IndiGo,2021-05-09 23:00:04.514146
29," 6,241","Goa to Lucknow , 28 May",17:25,21:50,1 stop via Mumbai,Go Air,2021-05-09 23:00:04.514146
30," 9,520","Goa to Lucknow , 28 May",07:30,19:40,"2 stop via Mumbai,New Delhi",Air India,2021-05-09 23:00:04.514146
31," 10,150","Goa to Lucknow , 28 May",12:30,08:15,"2 stop via Mumbai,New Delhi",Air India,2021-05-09 23:00:04.514146
32," 10,150","Goa to Lucknow , 28 May",12:30,08:15,"3 stop via Mumbai,Aurangabad,New Delhi",Air India,2021-05-09 23:00:04.514146
33," 10,150","Goa to Lucknow , 28 May",12:30,08:15,"2 stop via Mumbai,New Delhi",Air India,2021-05-09 23:00:04.514146
