,Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
0," 7,323","Bhubaneswar to Nagpur , 28 May",09:40,15:40,1 stop via Hyderabad,IndiGo,2021-05-10 00:29:21.650225
1," 7,376","Bhubaneswar to Nagpur , 28 May",08:50,15:45,1 stop via New Delhi,IndiGo,2021-05-10 00:29:21.650225
2," 8,688","Bhubaneswar to Nagpur , 28 May",21:35,08:30,"2 stop via New Delhi,Raipur",Air India,2021-05-10 00:29:21.650225
3," 12,363","Bhubaneswar to Nagpur , 28 May",15:00,08:30,"3 stop via Mumbai,New Delhi,Raipur",Air India,2021-05-10 00:29:21.650225
4," 12,363","Bhubaneswar to Nagpur , 28 May",15:00,08:30,"3 stop via Mumbai,New Delhi,Raipur",Air India,2021-05-10 00:29:21.650225
5," 4,155","Bhubaneswar to Varanasi , 28 May",16:55,18:55,Non stop,IndiGo,2021-05-10 00:29:47.089332
6," 5,991","Bhubaneswar to Varanasi , 28 May",09:40,14:45,1 stop via New Delhi,Vistara,2021-05-10 00:29:47.089332
7," 6,066","Bhubaneswar to Varanasi , 28 May",21:35,11:35,1 stop via New Delhi,Air India,2021-05-10 00:29:47.089332
8," 8,855","Bhubaneswar to Varanasi , 28 May",09:40,09:15,"3 stop via Hyderabad,New Delhi,Bengaluru","IndiGo, Go Air",2021-05-10 00:29:47.089332
9," 8,855","Bhubaneswar to Varanasi , 28 May",08:50,09:15,"2 stop via New Delhi,Bengaluru","IndiGo, Go Air",2021-05-10 00:29:47.089332
10," 8,855","Bhubaneswar to Varanasi , 28 May",09:40,12:35,"3 stop via Hyderabad,New Delhi,Mumbai","IndiGo, Go Air",2021-05-10 00:29:47.089332
11," 8,855","Bhubaneswar to Varanasi , 28 May",09:40,12:35,"3 stop via Hyderabad,New Delhi,Mumbai","IndiGo, Go Air",2021-05-10 00:29:47.089332
12," 8,855","Bhubaneswar to Varanasi , 28 May",08:50,12:35,"2 stop via New Delhi,Mumbai","IndiGo, Go Air",2021-05-10 00:29:47.089332
13," 8,855","Bhubaneswar to Varanasi , 28 May",08:45,12:35,"3 stop via Bengaluru,New Delhi,Mumbai","IndiGo, Go Air",2021-05-10 00:29:47.089332
14," 8,856","Bhubaneswar to Varanasi , 28 May",09:40,09:15,"2 stop via New Delhi,Bengaluru","Vistara, Go Air",2021-05-10 00:29:47.089332
15," 9,077","Bhubaneswar to Varanasi , 28 May",09:40,21:40,"2 stop via Hyderabad,New Delhi","IndiGo, Go Air",2021-05-10 00:29:47.089332
16," 9,078","Bhubaneswar to Varanasi , 28 May",10:00,21:40,1 stop via New Delhi,"AirAsia, Go Air",2021-05-10 00:29:47.089332
17," 9,079","Bhubaneswar to Varanasi , 28 May",08:50,14:45,1 stop via New Delhi,"IndiGo, Vistara",2021-05-10 00:29:47.089332
18," 9,079","Bhubaneswar to Varanasi , 28 May",10:00,21:25,1 stop via New Delhi,"AirAsia, IndiGo",2021-05-10 00:29:47.089332
19," 5,250","Bhubaneswar to Indore , 28 May",09:40,15:35,1 stop via Hyderabad,IndiGo,2021-05-10 00:30:09.869474
20," 5,250","Bhubaneswar to Indore , 28 May",08:50,15:15,1 stop via New Delhi,IndiGo,2021-05-10 00:30:09.869474
21," 5,250","Bhubaneswar to Indore , 28 May",10:00,20:05,1 stop via New Delhi,AirAsia,2021-05-10 00:30:09.869474
