,Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
0," 3,871","Amritsar to New Delhi , 28 May",22:50,23:40,Non stop,Air India,2021-05-10 06:33:38.702425
1," 3,871","Amritsar to New Delhi , 28 May",19:10,20:20,Non stop,Spicejet,2021-05-10 06:33:38.702425
2," 3,871","Amritsar to New Delhi , 28 May",06:05,07:20,Non stop,IndiGo,2021-05-10 06:33:38.702425
3," 3,871","Amritsar to New Delhi , 28 May",14:20,15:45,Non stop,Air India,2021-05-10 06:33:38.702425
4," 3,872","Amritsar to New Delhi , 28 May",15:25,16:40,Non stop,Vistara,2021-05-10 06:33:38.702425
5," 8,806","Amritsar to New Delhi , 28 May",14:55,23:00,"2 stop via Patna,Kolkata",Air India,2021-05-10 06:33:38.702425
6," 9,047","Amritsar to New Delhi , 28 May",14:55,20:55,1 stop via Patna,Air India,2021-05-10 06:33:38.702425
7," 13,982","Amritsar to New Delhi , 28 May",14:55,09:10,"2 stop via Patna,Mumbai",Air India,2021-05-10 06:33:38.702425
8," 13,982","Amritsar to New Delhi , 28 May",14:55,10:15,"2 stop via Patna,Mumbai",Air India,2021-05-10 06:33:38.702425
9," 13,982","Amritsar to New Delhi , 28 May",14:55,11:10,"3 stop via Patna,Mumbai,Indore",Air India,2021-05-10 06:33:38.702425
10," 13,982","Amritsar to New Delhi , 28 May",14:55,12:15,"2 stop via Patna,Mumbai",Air India,2021-05-10 06:33:38.702425
11," 16,502","Amritsar to New Delhi , 28 May",14:55,08:55,"2 stop via Patna,Bengaluru",Air India,2021-05-10 06:33:38.702425
12," 5,610","Amritsar to Mumbai , 28 May",19:10,09:35,1 stop via New Delhi,Spicejet,2021-05-10 06:34:01.719683
13," 5,610","Amritsar to Mumbai , 28 May",18:55,10:35,1 stop via Jaipur,Spicejet,2021-05-10 06:34:01.719683
14," 5,610","Amritsar to Mumbai , 28 May",07:50,06:35,1 stop via Ahmedabad,Spicejet,2021-05-10 06:34:01.719683
15," 6,390","Amritsar to Mumbai , 28 May",06:05,11:45,1 stop via New Delhi,IndiGo,2021-05-10 06:34:01.719683
16," 6,391","Amritsar to Mumbai , 28 May",14:05,16:50,Non stop,IndiGo,2021-05-10 06:34:01.719683
17," 7,339","Amritsar to Mumbai , 28 May",14:20,21:15,1 stop via New Delhi,Air India,2021-05-10 06:34:01.719683
18," 7,339","Amritsar to Mumbai , 28 May",22:50,09:05,1 stop via New Delhi,Air India,2021-05-10 06:34:01.719683
19," 9,677","Amritsar to Mumbai , 28 May",14:55,23:25,1 stop via Patna,Air India,2021-05-10 06:34:01.719683
20," 10,066","Amritsar to Mumbai , 28 May",14:55,23:25,"3 stop via Patna,Kolkata,Patna",Air India,2021-05-10 06:34:01.719683
21," 6,427","Amritsar to Bengaluru , 28 May",19:10,08:50,1 stop via New Delhi,Spicejet,2021-05-10 06:34:24.361139
22," 6,427","Amritsar to Bengaluru , 28 May",07:50,08:05,1 stop via Ahmedabad,Spicejet,2021-05-10 06:34:24.361139
23," 6,427","Amritsar to Bengaluru , 28 May",11:55,13:20,1 stop via Patna,Spicejet,2021-05-10 06:34:24.361139
24," 6,518","Amritsar to Bengaluru , 28 May",06:05,11:40,1 stop via New Delhi,IndiGo,2021-05-10 06:34:24.361139
25," 6,518","Amritsar to Bengaluru , 28 May",14:05,20:50,1 stop via Mumbai,IndiGo,2021-05-10 06:34:24.361139
26," 8,494","Amritsar to Bengaluru , 28 May",14:20,23:55,1 stop via New Delhi,Air India,2021-05-10 06:34:24.361139
27," 8,494","Amritsar to Bengaluru , 28 May",22:50,08:55,1 stop via New Delhi,Air India,2021-05-10 06:34:24.361139
28," 9,166","Amritsar to Bengaluru , 28 May",20:15,08:40,1 stop via Kolkata,IndiGo,2021-05-10 06:34:24.361139
29," 9,825","Amritsar to Bengaluru , 28 May",14:20,22:35,1 stop via New Delhi,"Air India, Go Air",2021-05-10 06:34:24.361139
30," 9,826","Amritsar to Bengaluru , 28 May",15:25,22:35,1 stop via New Delhi,"Vistara, Go Air",2021-05-10 06:34:24.361139
31," 5,699","Amritsar to Hyderabad , 28 May",06:05,12:10,1 stop via New Delhi,IndiGo,2021-05-10 06:34:47.233754
32," 5,699","Amritsar to Hyderabad , 28 May",06:05,13:50,1 stop via New Delhi,IndiGo,2021-05-10 06:34:47.233754
33," 5,699","Amritsar to Hyderabad , 28 May",06:05,16:00,1 stop via New Delhi,IndiGo,2021-05-10 06:34:47.233754
34," 6,444","Amritsar to Hyderabad , 28 May",14:05,19:55,1 stop via Mumbai,IndiGo,2021-05-10 06:34:47.233754
35," 9,187","Amritsar to Hyderabad , 28 May",22:50,10:30,1 stop via New Delhi,Air India,2021-05-10 06:34:47.233754
36," 9,385","Amritsar to Hyderabad , 28 May",11:55,19:35,1 stop via Patna,Spicejet,2021-05-10 06:34:47.233754
37," 9,566","Amritsar to Hyderabad , 28 May",20:15,08:15,1 stop via Kolkata,IndiGo,2021-05-10 06:34:47.233754
38," 10,384","Amritsar to Hyderabad , 28 May",22:50,20:45,"2 stop via New Delhi,Mumbai",Air India,2021-05-10 06:34:47.233754
39," 10,384","Amritsar to Hyderabad , 28 May",22:50,20:45,"2 stop via New Delhi,Mumbai",Air India,2021-05-10 06:34:47.233754
40," 10,384","Amritsar to Hyderabad , 28 May",22:50,20:45,"2 stop via New Delhi,Mumbai",Air India,2021-05-10 06:34:47.233754
41," 10,384","Amritsar to Hyderabad , 28 May",22:50,20:45,"2 stop via New Delhi,Mumbai",Air India,2021-05-10 06:34:47.233754
42," 10,384","Amritsar to Hyderabad , 28 May",22:50,22:30,"3 stop via New Delhi,Pune,Nasik",Air India,2021-05-10 06:34:47.233754
43," 11,539","Amritsar to Hyderabad , 28 May",14:20,12:25,"4 stop via New Delhi,Bengaluru,Kolkata,Bhubaneswar",Air India,2021-05-10 06:34:47.233754
44," 12,327","Amritsar to Hyderabad , 28 May",22:50,18:55,"3 stop via New Delhi,Bengaluru,Kolhapur",Air India,2021-05-10 06:34:47.233754
45," 12,327","Amritsar to Hyderabad , 28 May",22:50,18:55,"3 stop via New Delhi,Bengaluru,Kolhapur",Air India,2021-05-10 06:34:47.233754
