,Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
0," 4,428","New Delhi to Mumbai , 29 May",16:45,21:40,1 stop via Ahmedabad,Go Air,2021-05-10 14:32:58.796320
1," 4,428","New Delhi to Mumbai , 29 May",12:10,17:45,1 stop via Goa,IndiGo,2021-05-10 14:32:58.796320
2," 4,428","New Delhi to Mumbai , 29 May",16:30,22:10,1 stop via Lucknow,IndiGo,2021-05-10 14:32:58.796320
3," 4,428","New Delhi to Mumbai , 29 May",11:00,16:45,1 stop via Patna,Go Air,2021-05-10 14:32:58.796320
4," 4,428","New Delhi to Mumbai , 29 May",12:00,17:50,1 stop via Lucknow,Go Air,2021-05-10 14:32:58.796320
5," 4,428","New Delhi to Mumbai , 29 May",10:00,15:55,1 stop via Varanasi,IndiGo,2021-05-10 14:32:58.796320
6," 4,428","New Delhi to Mumbai , 29 May",11:35,17:35,1 stop via Hyderabad,IndiGo,2021-05-10 14:32:58.796320
7," 4,428","New Delhi to Mumbai , 29 May",13:35,19:40,1 stop via Hyderabad,IndiGo,2021-05-10 14:32:58.796320
8," 4,428","New Delhi to Mumbai , 29 May",15:30,21:35,1 stop via Ranchi,Go Air,2021-05-10 14:32:58.796320
9," 4,428","New Delhi to Mumbai , 29 May",14:10,20:55,1 stop via Raipur,IndiGo,2021-05-10 14:32:58.796320
10," 4,428","New Delhi to Mumbai , 29 May",09:45,17:35,1 stop via Hyderabad,IndiGo,2021-05-10 14:32:58.796320
11," 4,428","New Delhi to Mumbai , 29 May",07:00,15:05,1 stop via Dehradun,Spicejet,2021-05-10 14:32:58.796320
12," 4,428","New Delhi to Mumbai , 29 May",09:25,18:15,1 stop via Srinagar,Go Air,2021-05-10 14:32:58.796320
13," 4,428","New Delhi to Mumbai , 29 May",09:10,18:15,1 stop via Srinagar,Go Air,2021-05-10 14:32:58.796320
14," 4,428","New Delhi to Mumbai , 29 May",20:50,06:20,1 stop via Bengaluru,AirAsia,2021-05-10 14:32:58.796320
15," 4,428","New Delhi to Mumbai , 29 May",12:35,00:20,1 stop via Kolkata,AirAsia,2021-05-10 14:32:58.796320
16," 4,428","New Delhi to Mumbai , 29 May",08:45,21:35,1 stop via Ranchi,Go Air,2021-05-10 14:32:58.796320
17," 4,428","New Delhi to Mumbai , 29 May",07:30,21:40,1 stop via Ahmedabad,Go Air,2021-05-10 14:32:58.796320
18," 4,429","New Delhi to Mumbai , 29 May",12:00,18:40,1 stop via Goa,Go Air,2021-05-10 14:32:58.796320
19," 4,429","New Delhi to Mumbai , 29 May",10:40,18:40,1 stop via Goa,Go Air,2021-05-10 14:32:58.796320
20," 4,694","New Delhi to Mumbai , 29 May",06:50,08:55,Non stop,Go Air,2021-05-10 14:32:58.796320
21," 4,694","New Delhi to Mumbai , 29 May",08:00,10:05,Non stop,Go Air,2021-05-10 14:32:58.796320
