,Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
0," 4,786","Pune to New Delhi , 31 May",19:25,02:55,1 stop via Bengaluru,AirAsia,2021-05-11 09:21:51.568381
1," 4,786","Pune to New Delhi , 31 May",13:00,22:20,1 stop via Bengaluru,AirAsia,2021-05-11 09:21:51.568381
2," 4,788","Pune to New Delhi , 31 May",10:20,23:40,1 stop via Bengaluru,Go Air,2021-05-11 09:21:51.568381
3," 4,055","Pune to New Delhi , 01 Jun",14:40,20:30,1 stop via Ahmedabad,Go Air,2021-05-11 09:21:51.568381
4," 4,793","Pune to New Delhi , 31 May",14:50,19:30,1 stop via Lucknow,IndiGo,2021-05-11 09:21:51.568381
5," 4,793","Pune to New Delhi , 31 May",10:55,16:25,1 stop via Patna,IndiGo,2021-05-11 09:21:51.568381
6," 4,793","Pune to New Delhi , 31 May",16:10,23:10,1 stop via Hyderabad,IndiGo,2021-05-11 09:21:51.568381
7," 4,793","Pune to New Delhi , 31 May",14:05,00:20,1 stop via Bengaluru,IndiGo,2021-05-11 09:21:51.568381
8," 5,012","Pune to New Delhi , 31 May",19:30,21:30,Non stop,Go Air,2021-05-11 09:21:51.568381
9," 5,012","Pune to New Delhi , 31 May",16:10,18:15,Non stop,Go Air,2021-05-11 09:21:51.568381
10," 5,013","Pune to New Delhi , 31 May",09:40,11:45,Non stop,Air India,2021-05-11 09:21:51.568381
11," 5,013","Pune to New Delhi , 31 May",10:55,13:10,Non stop,IndiGo,2021-05-11 09:21:51.568381
12," 5,013","Pune to New Delhi , 31 May",17:20,19:35,Non stop,IndiGo,2021-05-11 09:21:51.568381
13," 5,013","Pune to New Delhi , 31 May",18:50,21:05,Non stop,Air India,2021-05-11 09:21:51.568381
14," 5,014","Pune to New Delhi , 31 May",13:10,15:25,Non stop,Vistara,2021-05-11 09:21:51.568381
15," 5,014","Pune to New Delhi , 31 May",17:55,20:10,Non stop,AirAsia,2021-05-11 09:21:51.568381
16," 5,014","Pune to New Delhi , 31 May",11:55,00:45,"2 stop via Bhubaneswar,Kolkata",AirAsia,2021-05-11 09:21:51.568381
17," 2,896","Pune to Mumbai , 31 May",16:10,22:55,1 stop via New Delhi,Go Air,2021-05-11 09:22:37.007254
18," 2,896","Pune to Mumbai , 31 May",19:30,04:45,1 stop via New Delhi,Go Air,2021-05-11 09:22:37.007254
19," 2,898","Pune to Mumbai , 31 May",10:20,18:00,1 stop via Bengaluru,Go Air,2021-05-11 09:22:37.007254
20," 3,131","Pune to Mumbai , 31 May",10:05,17:00,1 stop via Kochi,IndiGo,2021-05-11 09:22:37.007254
21," 3,131","Pune to Mumbai , 31 May",10:55,17:50,1 stop via New Delhi,IndiGo,2021-05-11 09:22:37.007254
22," 3,131","Pune to Mumbai , 31 May",14:50,22:10,1 stop via Lucknow,IndiGo,2021-05-11 09:22:37.007254
23," 3,131","Pune to Mumbai , 31 May",14:05,00:20,1 stop via Bengaluru,IndiGo,2021-05-11 09:22:37.007254
24," 3,131","Pune to Mumbai , 31 May",17:20,04:35,1 stop via New Delhi,IndiGo,2021-05-11 09:22:37.007254
25," 6,693","Pune to Mumbai , 31 May",19:00,07:10,"2 stop via Nasik,Hyderabad",Air India,2021-05-11 09:22:37.007254
26," 9,006","Pune to Mumbai , 31 May",18:50,23:30,"2 stop via New Delhi,Hyderabad",Air India,2021-05-11 09:22:37.007254
27," 9,108","Pune to Mumbai , 31 May",18:50,09:05,1 stop via New Delhi,Air India,2021-05-11 09:22:37.007254
28," 4,156","Pune to Bengaluru , 31 May",16:10,22:35,1 stop via New Delhi,Go Air,2021-05-11 09:23:22.356683
29," 4,156","Pune to Bengaluru , 31 May",19:30,08:25,1 stop via New Delhi,Go Air,2021-05-11 09:23:22.356683
30," 4,156","Pune to Bengaluru , 31 May",16:10,08:25,1 stop via New Delhi,Go Air,2021-05-11 09:23:22.356683
31," 4,163","Pune to Bengaluru , 31 May",10:05,18:10,1 stop via Kochi,IndiGo,2021-05-11 09:23:22.356683
32," 4,382","Pune to Bengaluru , 31 May",10:20,11:40,Non stop,Go Air,2021-05-11 09:23:22.356683
33," 4,383","Pune to Bengaluru , 31 May",14:05,15:35,Non stop,IndiGo,2021-05-11 09:23:22.356683
34," 4,383","Pune to Bengaluru , 31 May",19:30,06:45,1 stop via Hyderabad,Spicejet,2021-05-11 09:23:22.356683
35," 4,384","Pune to Bengaluru , 31 May",13:00,14:20,Non stop,AirAsia,2021-05-11 09:23:22.356683
36," 4,384","Pune to Bengaluru , 31 May",19:25,20:45,Non stop,AirAsia,2021-05-11 09:23:22.356683
37," 9,020","Pune to Bengaluru , 31 May",19:00,16:00,"3 stop via Nasik,Hyderabad,Mysore",Air India,2021-05-11 09:23:22.356683
38," 9,531","Pune to Bengaluru , 31 May",18:50,15:20,"2 stop via New Delhi,Chennai",Air India,2021-05-11 09:23:22.356683
39," 10,263","Pune to Bengaluru , 31 May",18:50,08:55,1 stop via New Delhi,Air India,2021-05-11 09:23:22.356683
40," 10,578","Pune to Bengaluru , 31 May",09:40,16:15,1 stop via New Delhi,Air India,2021-05-11 09:23:22.356683
41," 10,578","Pune to Bengaluru , 31 May",09:40,23:55,1 stop via New Delhi,Air India,2021-05-11 09:23:22.356683
42," 11,316","Pune to Bengaluru , 31 May",18:50,21:45,"2 stop via New Delhi,Lucknow",Air India,2021-05-11 09:23:22.356683
43," 12,573","Pune to Bengaluru , 31 May",18:50,18:30,"2 stop via New Delhi,Mumbai",Air India,2021-05-11 09:23:22.356683
44," 3,526","Pune to Hyderabad , 31 May",16:10,22:55,1 stop via New Delhi,Go Air,2021-05-11 09:24:07.784234
45," 3,526","Pune to Hyderabad , 31 May",19:30,09:40,1 stop via New Delhi,Go Air,2021-05-11 09:24:07.784234
46," 3,533","Pune to Hyderabad , 31 May",14:05,20:55,1 stop via Bengaluru,IndiGo,2021-05-11 09:24:07.784234
47," 3,648","Pune to Hyderabad , 31 May",13:00,17:35,1 stop via Bengaluru,AirAsia,2021-05-11 09:24:07.784234
48," 3,648","Pune to Hyderabad , 31 May",19:25,08:40,1 stop via Bengaluru,AirAsia,2021-05-11 09:24:07.784234
49," 3,753","Pune to Hyderabad , 31 May",19:30,20:30,Non stop,Spicejet,2021-05-11 09:24:07.784234
50," 3,753","Pune to Hyderabad , 31 May",16:10,17:20,Non stop,IndiGo,2021-05-11 09:24:07.784234
51," 3,753","Pune to Hyderabad , 31 May",19:00,22:30,1 stop via Nasik,Air India,2021-05-11 09:24:07.784234
52," 6,066","Pune to Hyderabad , 31 May",18:50,10:10,1 stop via New Delhi,Air India,2021-05-11 09:24:07.784234
53," 10,161","Pune to Hyderabad , 31 May",18:50,20:35,"2 stop via New Delhi,Chennai",Air India,2021-05-11 09:24:07.784234
54," 11,641","Pune to Hyderabad , 31 May",18:50,17:35,"4 stop via New Delhi,Nagpur,Raipur,Jagdalpur",Air India,2021-05-11 09:24:07.784234
55," 12,258","Pune to Hyderabad , 31 May",09:40,07:15,"3 stop via New Delhi,Indore,Mumbai",Air India,2021-05-11 09:24:07.784234
56," 12,363","Pune to Hyderabad , 31 May",09:40,20:45,"3 stop via New Delhi,Indore,Mumbai",Air India,2021-05-11 09:24:07.784234
57," 4,383","Pune to Chennai , 31 May",19:40,21:25,Non stop,Spicejet,2021-05-11 09:24:53.286818
58," 4,383","Pune to Chennai , 31 May",16:10,21:45,1 stop via Hyderabad,IndiGo,2021-05-11 09:24:53.286818
59," 4,383","Pune to Chennai , 31 May",14:05,23:00,1 stop via Bengaluru,IndiGo,2021-05-11 09:24:53.286818
60," 3,963","Pune to Chennai , 01 Jun",18:15,21:45,1 stop via Hyderabad,IndiGo,2021-05-11 09:24:53.286818
61," 3,963","Pune to Chennai , 01 Jun",14:05,18:10,1 stop via Bengaluru,IndiGo,2021-05-11 09:24:53.286818
62," 3,963","Pune to Chennai , 01 Jun",16:10,20:25,1 stop via Hyderabad,IndiGo,2021-05-11 09:24:53.286818
63," 3,963","Pune to Chennai , 01 Jun",12:15,17:05,1 stop via Coimbatore,IndiGo,2021-05-11 09:24:53.286818
64," 3,963","Pune to Chennai , 01 Jun",10:05,15:05,1 stop via Kochi,IndiGo,2021-05-11 09:24:53.286818
65," 4,383","Pune to Chennai , 31 May",19:30,06:55,1 stop via Hyderabad,Spicejet,2021-05-11 09:24:53.286818
66," 7,221","Pune to Chennai , 31 May",09:40,23:35,1 stop via New Delhi,Air India,2021-05-11 09:24:53.286818
67," 7,221","Pune to Chennai , 31 May",18:50,08:55,1 stop via New Delhi,Air India,2021-05-11 09:24:53.286818
68," 9,006","Pune to Chennai , 31 May",18:50,22:35,"2 stop via New Delhi,Hyderabad",Air India,2021-05-11 09:24:53.286818
69," 10,788","Pune to Chennai , 31 May",19:00,10:55,"3 stop via Nasik,Hyderabad,Mumbai",Air India,2021-05-11 09:24:53.286818
70," 12,573","Pune to Chennai , 31 May",18:50,12:50,"2 stop via New Delhi,Bengaluru",Air India,2021-05-11 09:24:53.286818
71," 13,413","Pune to Chennai , 31 May",09:40,07:15,"3 stop via New Delhi,Indore,Mumbai",Air India,2021-05-11 09:24:53.286818
72," 13,413","Pune to Chennai , 31 May",09:40,07:15,"2 stop via New Delhi,Mumbai",Air India,2021-05-11 09:24:53.286818
73," 13,413","Pune to Chennai , 31 May",09:40,07:15,"3 stop via New Delhi,Aurangabad,Mumbai",Air India,2021-05-11 09:24:53.286818
