,Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
0," 4,963","Bagdogra to Chennai , 31 May",13:05,18:40,1 stop via Hyderabad,IndiGo,2021-05-11 11:31:36.098758
1," 4,963","Bagdogra to Chennai , 31 May",12:20,18:45,1 stop via Kolkata,IndiGo,2021-05-11 11:31:36.098758
2," 4,963","Bagdogra to Chennai , 31 May",16:40,23:10,1 stop via New Delhi,IndiGo,2021-05-11 11:31:36.098758
3," 4,963","Bagdogra to Chennai , 31 May",11:30,18:35,1 stop via New Delhi,IndiGo,2021-05-11 11:31:36.098758
4," 4,963","Bagdogra to Chennai , 31 May",14:20,00:10,1 stop via Kolkata,IndiGo,2021-05-11 11:31:36.098758
5," 5,192","Bagdogra to Chennai , 31 May",10:50,16:05,1 stop via Kolkata,AirAsia,2021-05-11 11:31:36.098758
6," 5,192","Bagdogra to Chennai , 31 May",12:45,21:15,1 stop via New Delhi,AirAsia,2021-05-11 11:31:36.098758
7," 5,192","Bagdogra to Chennai , 31 May",12:05,21:35,1 stop via New Delhi,Spicejet,2021-05-11 11:31:36.098758
8," 5,192","Bagdogra to Chennai , 31 May",09:20,23:05,1 stop via Bengaluru,Spicejet,2021-05-11 11:31:36.098758
9," 5,192","Bagdogra to Chennai , 31 May",17:00,07:00,"2 stop via New Delhi,Mumbai",AirAsia,2021-05-11 11:31:36.098758
10," 5,192","Bagdogra to Chennai , 31 May",13:25,12:30,1 stop via Kolkata,Spicejet,2021-05-11 11:31:36.098758
11," 5,754","Bagdogra to Chennai , 31 May",09:55,16:10,1 stop via Bengaluru,IndiGo,2021-05-11 11:31:36.098758
12," 6,784","Bagdogra to Chennai , 31 May",08:50,11:40,Non stop,Spicejet,2021-05-11 11:31:36.098758
13," 6,784","Bagdogra to Chennai , 31 May",16:30,19:20,Non stop,Spicejet,2021-05-11 11:31:36.098758
14," 3,069","Bagdogra to Kolkata , 31 May",13:55,22:05,1 stop via New Delhi,Go Air,2021-05-11 11:32:25.234371
15," 3,069","Bagdogra to Kolkata , 31 May",16:10,07:50,"2 stop via Guwahati,New Delhi",Go Air,2021-05-11 11:32:25.234371
16," 3,282","Bagdogra to Kolkata , 31 May",14:55,15:55,Non stop,Go Air,2021-05-11 11:32:25.234371
17," 3,284","Bagdogra to Kolkata , 31 May",13:25,14:20,Non stop,Spicejet,2021-05-11 11:32:25.234371
18," 3,284","Bagdogra to Kolkata , 31 May",12:20,13:25,Non stop,IndiGo,2021-05-11 11:32:25.234371
19," 3,284","Bagdogra to Kolkata , 31 May",10:50,12:00,Non stop,AirAsia,2021-05-11 11:32:25.234371
20," 3,284","Bagdogra to Kolkata , 31 May",14:20,15:30,Non stop,IndiGo,2021-05-11 11:32:25.234371
21," 3,284","Bagdogra to Kolkata , 31 May",09:10,10:40,Non stop,Spicejet,2021-05-11 11:32:25.234371
22," 8,584","Bagdogra to Kolkata , 31 May",13:50,22:20,1 stop via New Delhi,Air India,2021-05-11 11:32:25.234371
23," 13,084","Bagdogra to Kolkata , 31 May",13:50,08:20,"2 stop via New Delhi,Bengaluru",Air India,2021-05-11 11:32:25.234371
24," 13,084","Bagdogra to Kolkata , 31 May",13:50,13:50,"2 stop via New Delhi,Chennai",Air India,2021-05-11 11:32:25.234371
25," 13,584","Bagdogra to Kolkata , 31 May",13:50,08:50,"2 stop via New Delhi,Mumbai",Air India,2021-05-11 11:32:25.234371
