,Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
0," 3,871","Amritsar to New Delhi , 31 May",22:50,23:40,Non stop,Air India,2021-05-11 13:48:37.251860
1," 3,871","Amritsar to New Delhi , 31 May",19:10,20:20,Non stop,Spicejet,2021-05-11 13:48:37.251860
2," 3,871","Amritsar to New Delhi , 31 May",19:45,21:00,Non stop,IndiGo,2021-05-11 13:48:37.251860
3," 3,871","Amritsar to New Delhi , 31 May",14:20,15:45,Non stop,Air India,2021-05-11 13:48:37.251860
4," 3,872","Amritsar to New Delhi , 31 May",15:25,16:40,Non stop,Vistara,2021-05-11 13:48:37.251860
5," 10,696","Amritsar to New Delhi , 31 May",11:15,18:20,1 stop via Mumbai,Air India,2021-05-11 13:48:37.251860
6," 10,696","Amritsar to New Delhi , 31 May",11:15,19:10,"2 stop via Mumbai,Aurangabad",Air India,2021-05-11 13:48:37.251860
7," 10,696","Amritsar to New Delhi , 31 May",11:15,20:30,1 stop via Mumbai,Air India,2021-05-11 13:48:37.251860
8," 10,696","Amritsar to New Delhi , 31 May",11:15,21:15,1 stop via Mumbai,Air India,2021-05-11 13:48:37.251860
9," 11,434","Amritsar to New Delhi , 31 May",11:15,08:55,"2 stop via Mumbai,Hyderabad",Air India,2021-05-11 13:48:37.251860
10," 4,994","Amritsar to Mumbai , 31 May",07:50,06:35,1 stop via Ahmedabad,Spicejet,2021-05-11 13:49:03.069981
11," 5,610","Amritsar to Mumbai , 31 May",18:55,10:35,1 stop via Jaipur,Spicejet,2021-05-11 13:49:03.069981
12," 6,390","Amritsar to Mumbai , 31 May",19:45,04:35,1 stop via New Delhi,IndiGo,2021-05-11 13:49:03.069981
13," 6,391","Amritsar to Mumbai , 31 May",11:15,13:40,Non stop,Air India,2021-05-11 13:49:03.069981
14," 6,391","Amritsar to Mumbai , 31 May",14:05,16:50,Non stop,IndiGo,2021-05-11 13:49:03.069981
15," 7,339","Amritsar to Mumbai , 31 May",14:20,21:15,1 stop via New Delhi,Air India,2021-05-11 13:49:03.069981
16," 7,339","Amritsar to Mumbai , 31 May",22:50,09:05,1 stop via New Delhi,Air India,2021-05-11 13:49:03.069981
17," 9,104","Amritsar to Mumbai , 31 May",20:15,07:25,1 stop via Kolkata,IndiGo,2021-05-11 13:49:03.069981
18," 5,321","Amritsar to Bengaluru , 31 May",07:50,08:05,1 stop via Ahmedabad,Spicejet,2021-05-11 13:49:25.827595
